"","pid","Trial","TrialDuration","Block","Device","RH_cost","RH_travel_time","RH_Comfort","metro_cost","metro_travel_time","metro_Comfort","Bus_cost","Bus_travel_time","Bus_Comfort","Choice"
"1",1,1,6.7769,2,"Laptop",15,20,8,3,70,4,3,60,4,"RH_label"
"2",1,2,6.3052,2,"Laptop",20,20,7,3,70,6,3,60,3,"RH_label"
"3",1,3,7.5997,2,"Laptop",15,40,9,1,60,4,1,70,5,"Metro_label"
"4",1,4,10.3021,2,"Laptop",25,30,8,2,70,4,2,80,4,"RH_label"
"5",1,5,11.7829,2,"Laptop",25,20,9,2,60,4,2,70,4,"RH_label"
"6",1,6,6.8997,2,"Laptop",20,30,9,2,50,5,2,60,3,"Metro_label"
"7",1,7,6.6327,2,"Laptop",25,40,8,3,60,6,3,70,3,"Metro_label"
"8",1,8,11.5492,2,"Laptop",15,30,7,3,60,4,3,80,5,"RH_label"
"9",1,9,8.9004,2,"Laptop",20,40,8,1,50,5,1,80,3,"RH_label"
"10",1,10,7.4201,2,"Laptop",15,40,7,1,50,6,1,70,5,"Metro_label"
"11",1,11,6.3832,2,"Laptop",25,20,7,2,70,5,2,80,5,"RH_label"
"12",1,12,13.4664,2,"Laptop",25,30,9,1,70,6,1,60,4,"Bus_label"
"13",2,1,6.6943,4,"Laptop",25,20,8,1,60,4,1,60,3,"Metro_label"
"14",2,2,5.1312,4,"Laptop",20,40,8,2,70,4,2,70,5,"Metro_label"
"15",2,3,4.5687,4,"Laptop",20,30,8,2,60,5,2,60,5,"RH_label"
"16",2,4,3.6987,4,"Laptop",25,40,7,2,70,6,2,80,5,"RH_label"
"17",2,5,2.4669,4,"Laptop",20,40,7,3,60,6,3,60,4,"Metro_label"
"18",2,6,3.7128,4,"Laptop",25,20,9,3,50,4,3,80,3,"RH_label"
"19",2,7,5.7627,4,"Laptop",15,20,9,2,50,6,2,80,4,"RH_label"
"20",2,8,2.283,4,"Laptop",20,20,8,1,50,5,1,70,4,"RH_label"
"21",2,9,3.4145,4,"Laptop",25,40,7,1,60,5,1,80,4,"RH_label"
"22",2,10,4.618,4,"Laptop",20,30,9,3,50,6,3,70,4,"RH_label"
"23",2,11,4.1183,4,"Laptop",15,30,7,1,70,4,1,60,3,"RH_label"
"24",2,12,2.8439,4,"Laptop",15,30,9,3,70,5,3,70,5,"RH_label"
"25",3,1,5.8944,1,"Laptop",20,20,7,2,70,4,2,70,4,"Bus_label"
"26",3,2,5.566,1,"Laptop",20,40,7,3,50,5,3,60,4,"Metro_label"
"27",3,3,5.6851,1,"Laptop",25,30,8,3,60,6,3,70,3,"Metro_label"
"28",3,4,4.233,1,"Laptop",25,30,7,1,50,4,1,70,4,"Metro_label"
"29",3,5,4.2546,1,"Laptop",25,30,9,2,60,5,2,60,5,"Metro_label"
"30",3,6,5.1669,1,"Laptop",20,20,9,3,70,4,3,70,5,"Bus_label"
"31",3,7,7.7939,1,"Laptop",15,20,9,1,70,5,1,80,3,"Metro_label"
"32",3,8,4.838,1,"Laptop",15,40,8,3,70,5,3,80,4,"Metro_label"
"33",3,9,7.1329,1,"Laptop",20,20,9,1,60,6,1,80,5,"Metro_label"
"34",3,10,3.8142,1,"Laptop",15,20,8,1,60,6,1,60,5,"Metro_label"
"35",3,11,6.2171,1,"Laptop",15,40,8,2,50,4,2,60,3,"Metro_label"
"36",3,12,11.7714,1,"Laptop",15,30,7,2,50,6,2,80,3,"Bus_label"
"37",4,1,4.3271,4,"Laptop",25,20,8,1,60,4,1,60,3,"Metro_label"
"38",4,2,4.5995,4,"Laptop",20,40,8,2,70,4,2,70,5,"Metro_label"
"39",4,3,3.0624,4,"Laptop",20,30,8,2,60,5,2,60,5,"Metro_label"
"40",4,4,2.8333,4,"Laptop",25,40,7,2,70,6,2,80,5,"Metro_label"
"41",4,5,2.8667,4,"Laptop",20,40,7,3,60,6,3,60,4,"Metro_label"
"42",4,6,2.9753,4,"Laptop",25,20,9,3,50,4,3,80,3,"Metro_label"
"43",4,7,2.9042,4,"Laptop",15,20,9,2,50,6,2,80,4,"Metro_label"
"44",4,8,5.8832,4,"Laptop",20,20,8,1,50,5,1,70,4,"Metro_label"
"45",4,9,2.8002,4,"Laptop",25,40,7,1,60,5,1,80,4,"Metro_label"
"46",4,10,3.4093,4,"Laptop",20,30,9,3,50,6,3,70,4,"Metro_label"
"47",4,11,3.216,4,"Laptop",15,30,7,1,70,4,1,60,3,"Bus_label"
"48",4,12,2.3892,4,"Laptop",15,30,9,3,70,5,3,70,5,"Metro_label"
"49",5,1,9.4939,1,"Laptop",20,20,7,2,70,4,2,70,4,"Metro_label"
"50",5,2,8.0997,1,"Laptop",20,40,7,3,50,5,3,60,4,"Metro_label"
"51",5,3,17.214,1,"Laptop",25,30,8,3,60,6,3,70,3,"Metro_label"
"52",5,4,6.7959,1,"Laptop",25,30,7,1,50,4,1,70,4,"Metro_label"
"53",5,5,7.5663,1,"Laptop",25,30,9,2,60,5,2,60,5,"Metro_label"
"54",5,6,5.2498,1,"Laptop",20,20,9,3,70,4,3,70,5,"RH_label"
"55",5,7,6.3937,1,"Laptop",15,20,9,1,70,5,1,80,3,"RH_label"
"56",5,8,7.0328,1,"Laptop",15,40,8,3,70,5,3,80,4,"Metro_label"
"57",5,9,4.599,1,"Laptop",20,20,9,1,60,6,1,80,5,"Metro_label"
"58",5,10,6.4831,1,"Laptop",15,20,8,1,60,6,1,60,5,"Metro_label"
"59",5,11,6.7501,1,"Laptop",15,40,8,2,50,4,2,60,3,"Metro_label"
"60",5,12,5.7866,1,"Laptop",15,30,7,2,50,6,2,80,3,"Metro_label"
"61",6,1,6.4598,3,"Laptop",25,40,9,1,50,4,1,60,5,"Metro_label"
"62",6,2,3.9187,3,"Laptop",20,30,8,1,70,6,1,80,5,"Metro_label"
"63",6,3,2.7665,3,"Laptop",15,30,8,3,50,4,3,80,5,"RH_label"
"64",6,4,6.5525,3,"Laptop",15,30,8,1,60,5,1,70,4,"Metro_label"
"65",6,5,4.9514,3,"Laptop",25,20,7,3,50,5,3,60,5,"RH_label"
"66",6,6,2.4998,3,"Laptop",15,20,7,2,60,5,2,70,3,"Metro_label"
"67",6,7,5.1498,3,"Laptop",20,30,7,3,60,4,3,80,4,"RH_label"
"68",6,8,5.1796,3,"Laptop",20,40,9,2,60,4,2,80,3,"Metro_label"
"69",6,9,3.4805,3,"Laptop",15,40,9,2,70,6,2,60,4,"Metro_label"
"70",6,10,3.9681,3,"Laptop",25,40,9,3,70,5,3,70,3,"Metro_label"
"71",6,11,2.3635,3,"Laptop",25,20,8,2,50,6,2,70,5,"RH_label"
"72",6,12,4.3294,3,"Laptop",20,30,7,1,70,6,1,70,3,"Metro_label"
"73",7,1,7.2772,2,"Laptop",15,20,8,3,70,4,3,60,4,"RH_label"
"74",7,2,6.316,2,"Laptop",20,20,7,3,70,6,3,60,3,"Metro_label"
"75",7,3,6.5165,2,"Laptop",15,40,9,1,60,4,1,70,5,"Bus_label"
"76",7,4,5.2105,2,"Laptop",25,30,8,2,70,4,2,80,4,"Metro_label"
"77",7,5,2.8208,2,"Laptop",25,20,9,2,60,4,2,70,4,"Metro_label"
"78",7,6,6.3333,2,"Laptop",20,30,9,2,50,5,2,60,3,"Bus_label"
"79",7,7,5.3076,2,"Laptop",25,40,8,3,60,6,3,70,3,"Metro_label"
"80",7,8,4.3207,2,"Laptop",15,30,7,3,60,4,3,80,5,"Metro_label"
"81",7,9,5.2163,2,"Laptop",20,40,8,1,50,5,1,80,3,"Metro_label"
"82",7,10,1.9332,2,"Laptop",15,40,7,1,50,6,1,70,5,"Metro_label"
"83",7,11,3.0694,2,"Laptop",25,20,7,2,70,5,2,80,5,"Metro_label"
"84",7,12,2.6537,2,"Laptop",25,30,9,1,70,6,1,60,4,"Bus_label"
"85",8,1,6.7602,4,"Laptop",25,20,8,1,60,4,1,60,3,"Metro_label"
"86",8,2,7.8552,4,"Laptop",20,40,8,2,70,4,2,70,5,"Bus_label"
"87",8,3,7.0747,4,"Laptop",20,30,8,2,60,5,2,60,5,"Bus_label"
"88",8,4,4.8348,4,"Laptop",25,40,7,2,70,6,2,80,5,"Metro_label"
"89",8,5,6.935,4,"Laptop",20,40,7,3,60,6,3,60,4,"Metro_label"
"90",8,6,4.6165,4,"Laptop",25,20,9,3,50,4,3,80,3,"Metro_label"
"91",8,7,4.533,4,"Laptop",15,20,9,2,50,6,2,80,4,"Metro_label"
"92",8,8,4.7168,4,"Laptop",20,20,8,1,50,5,1,70,4,"Metro_label"
