"","pid","Trial","TrialDuration","Block","Device","RH_cost","RH_travel_time","RH_Comfort","metro_cost","metro_travel_time","metro_Comfort","Bus_cost","Bus_travel_time","Bus_Comfort","Choice"
"1",1,1,10.4483,4,"Smartphone",25,20,8,1,60,4,1,60,3,"RH_label"
"2",1,2,9.9511,4,"Smartphone",20,40,8,2,70,4,2,70,5,"RH_label"
"3",1,3,4.6995,4,"Smartphone",20,30,8,2,60,5,2,60,5,"Metro_label"
"4",1,4,5.119,4,"Smartphone",25,40,7,2,70,6,2,80,5,"Metro_label"
"5",1,5,13.383,4,"Smartphone",20,40,7,3,60,6,3,60,4,"Metro_label"
"6",1,6,4.8668,4,"Smartphone",25,20,9,3,50,4,3,80,3,"RH_label"
"7",1,7,5.3163,4,"Smartphone",15,20,9,2,50,6,2,80,4,"RH_label"
"8",1,8,7.9331,4,"Smartphone",20,20,8,1,50,5,1,70,4,"Metro_label"
"9",1,9,7.9497,4,"Smartphone",25,40,7,1,60,5,1,80,4,"Metro_label"
"10",1,10,11.9862,4,"Smartphone",20,30,9,3,50,6,3,70,4,"RH_label"
"11",1,11,10.948,4,"Smartphone",15,30,7,1,70,4,1,60,3,"RH_label"
"12",1,12,7.7362,4,"Smartphone",15,30,9,3,70,5,3,70,5,"RH_label"
"13",2,1,10.3626,1,"Smartphone",20,20,7,2,70,4,2,70,4,"RH_label"
"14",2,2,9.9166,1,"Smartphone",20,40,7,3,50,5,3,60,4,"RH_label"
"15",2,3,7.9998,1,"Smartphone",25,30,8,3,60,6,3,70,3,"RH_label"
"16",2,4,5.4164,1,"Smartphone",25,30,7,1,50,4,1,70,4,"RH_label"
"17",2,5,4.783,1,"Smartphone",25,30,9,2,60,5,2,60,5,"RH_label"
"18",2,6,5.5828,1,"Smartphone",20,20,9,3,70,4,3,70,5,"RH_label"
"19",2,7,4.9149,1,"Smartphone",15,20,9,1,70,5,1,80,3,"RH_label"
"20",2,8,6.8329,1,"Smartphone",15,40,8,3,70,5,3,80,4,"Metro_label"
"21",2,9,4.2159,1,"Smartphone",20,20,9,1,60,6,1,80,5,"RH_label"
"22",2,10,6.0687,1,"Smartphone",15,20,8,1,60,6,1,60,5,"RH_label"
"23",2,11,4.5831,1,"Smartphone",15,40,8,2,50,4,2,60,3,"RH_label"
"24",2,12,4.383,1,"Smartphone",15,30,7,2,50,6,2,80,3,"RH_label"
"25",3,1,6.6978,2,"Smartphone",15,20,8,3,70,4,3,60,4,"Bus_label"
"26",3,2,8.7668,2,"Smartphone",20,20,7,3,70,6,3,60,3,"Bus_label"
"27",3,3,6.1846,2,"Smartphone",15,40,9,1,60,4,1,70,5,"Metro_label"
"28",3,4,3.8634,2,"Smartphone",25,30,8,2,70,4,2,80,4,"Metro_label"
"29",3,5,5.0497,2,"Smartphone",25,20,9,2,60,4,2,70,4,"Metro_label"
"30",3,6,5.3329,2,"Smartphone",20,30,9,2,50,5,2,60,3,"Metro_label"
"31",3,7,3.9153,2,"Smartphone",25,40,8,3,60,6,3,70,3,"Metro_label"
"32",3,8,5.1496,2,"Smartphone",15,30,7,3,60,4,3,80,5,"Metro_label"
"33",3,9,3.9829,2,"Smartphone",20,40,8,1,50,5,1,80,3,"Metro_label"
"34",3,10,4.3151,2,"Smartphone",15,40,7,1,50,6,1,70,5,"Metro_label"
"35",3,11,4.3331,2,"Smartphone",25,20,7,2,70,5,2,80,5,"Metro_label"
"36",3,12,5.6024,2,"Smartphone",25,30,9,1,70,6,1,60,4,"Bus_label"
"37",4,1,6.6315,3,"Smartphone",25,40,9,1,50,4,1,60,5,"Metro_label"
"38",4,2,5.9333,3,"Smartphone",20,30,8,1,70,6,1,80,5,"Metro_label"
"39",4,3,11.1352,3,"Smartphone",15,30,8,3,50,4,3,80,5,"Metro_label"
"40",4,4,4.3803,3,"Smartphone",15,30,8,1,60,5,1,70,4,"Metro_label"
"41",4,5,7.5834,3,"Smartphone",25,20,7,3,50,5,3,60,5,"Metro_label"
"42",4,6,6.2168,3,"Smartphone",15,20,7,2,60,5,2,70,3,"Metro_label"
"43",4,7,4.9495,3,"Smartphone",20,30,7,3,60,4,3,80,4,"Metro_label"
"44",4,8,6.1635,3,"Smartphone",20,40,9,2,60,4,2,80,3,"Metro_label"
"45",4,9,6.6651,3,"Smartphone",15,40,9,2,70,6,2,60,4,"Bus_label"
"46",4,10,6.1338,3,"Smartphone",25,40,9,3,70,5,3,70,3,"Metro_label"
"47",4,11,3.8509,3,"Smartphone",25,20,8,2,50,6,2,70,5,"Metro_label"
"48",4,12,4.8958,3,"Smartphone",20,30,7,1,70,6,1,70,3,"Metro_label"
"49",5,1,6.0273,2,"Smartphone",15,20,8,3,70,4,3,60,4,"RH_label"
"50",5,2,4.0342,2,"Smartphone",20,20,7,3,70,6,3,60,3,"RH_label"
"51",5,3,3.7834,2,"Smartphone",15,40,9,1,60,4,1,70,5,"Metro_label"
"52",5,4,4.6704,2,"Smartphone",25,30,8,2,70,4,2,80,4,"Metro_label"
"53",5,5,5.0324,2,"Smartphone",25,20,9,2,60,4,2,70,4,"RH_label"
"54",5,6,5.3361,2,"Smartphone",20,30,9,2,50,5,2,60,3,"Metro_label"
"55",5,7,3.529,2,"Smartphone",25,40,8,3,60,6,3,70,3,"Metro_label"
"56",5,8,6.5998,2,"Smartphone",15,30,7,3,60,4,3,80,5,"RH_label"
"57",5,9,4.3165,2,"Smartphone",20,40,8,1,50,5,1,80,3,"Metro_label"
"58",5,10,4.1617,2,"Smartphone",15,40,7,1,50,6,1,70,5,"Metro_label"
