"","pid","Trial","TrialDuration","Block","Device","RH_cost","RH_travel_time","RH_Comfort","metro_cost","metro_travel_time","metro_Comfort","Bus_cost","Bus_travel_time","Bus_Comfort","Choice"
"1",1,1,7.7296,4,"Monitor",25,20,8,1,60,4,1,60,3,"Metro_label"
"2",1,2,5.5529,4,"Monitor",20,40,8,2,70,4,2,70,5,"Metro_label"
"3",1,3,10.6531,4,"Monitor",20,30,8,2,60,5,2,60,5,"Metro_label"
"4",1,4,9.1327,4,"Monitor",25,40,7,2,70,6,2,80,5,"Metro_label"
"5",1,5,10.6038,4,"Monitor",20,40,7,3,60,6,3,60,4,"Metro_label"
"6",1,6,7.887,4,"Monitor",25,20,9,3,50,4,3,80,3,"RH_label"
"7",1,7,9.7316,4,"Monitor",15,20,9,2,50,6,2,80,4,"RH_label"
"8",1,8,5.5328,4,"Monitor",20,20,8,1,50,5,1,70,4,"RH_label"
"9",1,9,8.5856,4,"Monitor",25,40,7,1,60,5,1,80,4,"Metro_label"
"10",1,10,10.8964,4,"Monitor",20,30,9,3,50,6,3,70,4,"RH_label"
"11",1,11,7.5799,4,"Monitor",15,30,7,1,70,4,1,60,3,"RH_label"
"12",1,12,7.433,4,"Monitor",15,30,9,3,70,5,3,70,5,"RH_label"
"13",2,1,7.9272,4,"Monitor",25,20,8,1,60,4,1,60,3,"Metro_label"
"14",2,2,7.1994,4,"Monitor",20,40,8,2,70,4,2,70,5,"RH_label"
"15",2,3,4.0812,4,"Monitor",20,30,8,2,60,5,2,60,5,"RH_label"
"16",2,4,4.7473,4,"Monitor",25,40,7,2,70,6,2,80,5,"RH_label"
"17",2,5,5.4997,4,"Monitor",20,40,7,3,60,6,3,60,4,"Metro_label"
"18",2,6,3.6331,4,"Monitor",25,20,9,3,50,4,3,80,3,"RH_label"
"19",2,7,3.6831,4,"Monitor",15,20,9,2,50,6,2,80,4,"RH_label"
"20",2,8,4.0108,4,"Monitor",20,20,8,1,50,5,1,70,4,"RH_label"
"21",2,9,4.4316,4,"Monitor",25,40,7,1,60,5,1,80,4,"Metro_label"
"22",2,10,3.7164,4,"Monitor",20,30,9,3,50,6,3,70,4,"RH_label"
"23",2,11,3.6324,4,"Monitor",15,30,7,1,70,4,1,60,3,"RH_label"
"24",2,12,3.0113,4,"Monitor",15,30,9,3,70,5,3,70,5,"RH_label"
"25",3,1,7.925,4,"Monitor",25,20,8,1,60,4,1,60,3,"Metro_label"
"26",3,2,6.0328,4,"Monitor",20,40,8,2,70,4,2,70,5,"Bus_label"
"27",3,3,6.0995,4,"Monitor",20,30,8,2,60,5,2,60,5,"Bus_label"
"28",3,4,4.9165,4,"Monitor",25,40,7,2,70,6,2,80,5,"Metro_label"
"29",3,5,4.2993,4,"Monitor",20,40,7,3,60,6,3,60,4,"Metro_label"
"30",3,6,5.163,4,"Monitor",25,20,9,3,50,4,3,80,3,"Metro_label"
"31",3,7,5.4831,4,"Monitor",15,20,9,2,50,6,2,80,4,"Metro_label"
"32",3,8,4.9323,4,"Monitor",20,20,8,1,50,5,1,70,4,"Metro_label"
"33",3,9,4.6498,4,"Monitor",25,40,7,1,60,5,1,80,4,"Metro_label"
"34",3,10,4.251,4,"Monitor",20,30,9,3,50,6,3,70,4,"Metro_label"
"35",3,11,7.0652,4,"Monitor",15,30,7,1,70,4,1,60,3,"Bus_label"
"36",3,12,4.4645,4,"Monitor",15,30,9,3,70,5,3,70,5,"Bus_label"
"37",4,1,3.2986,2,"Monitor",15,20,8,3,70,4,3,60,4,"Bus_label"
"38",4,2,3.9349,2,"Monitor",20,20,7,3,70,6,3,60,3,"Bus_label"
"39",4,3,2.6455,2,"Monitor",15,40,9,1,60,4,1,70,5,"Metro_label"
"40",4,4,3.6496,2,"Monitor",25,30,8,2,70,4,2,80,4,"Metro_label"
"41",4,5,3.6662,2,"Monitor",25,20,9,2,60,4,2,70,4,"Metro_label"
"42",4,6,4.4543,2,"Monitor",20,30,9,2,50,5,2,60,3,"Metro_label"
"43",4,7,3.7528,2,"Monitor",25,40,8,3,60,6,3,70,3,"Metro_label"
"44",4,8,3.2165,2,"Monitor",15,30,7,3,60,4,3,80,5,"Metro_label"
"45",4,9,4.454,2,"Monitor",20,40,8,1,50,5,1,80,3,"Metro_label"
"46",4,10,2.5365,2,"Monitor",15,40,7,1,50,6,1,70,5,"Metro_label"
"47",4,11,2.3022,2,"Monitor",25,20,7,2,70,5,2,80,5,"Metro_label"
"48",4,12,3.013,2,"Monitor",25,30,9,1,70,6,1,60,4,"Bus_label"
"49",5,1,5.927,4,"Monitor",25,20,8,1,60,4,1,60,3,"Metro_label"
"50",5,2,4.2035,4,"Monitor",20,40,8,2,70,4,2,70,5,"Metro_label"
"51",5,3,3.5997,4,"Monitor",20,30,8,2,60,5,2,60,5,"Metro_label"
"52",5,4,3.3664,4,"Monitor",25,40,7,2,70,6,2,80,5,"Metro_label"
"53",5,5,2.685,4,"Monitor",20,40,7,3,60,6,3,60,4,"Metro_label"
"54",5,6,3.4535,4,"Monitor",25,20,9,3,50,4,3,80,3,"Metro_label"
"55",5,7,6.0005,4,"Monitor",15,20,9,2,50,6,2,80,4,"Metro_label"
"56",5,8,2.6021,4,"Monitor",20,20,8,1,50,5,1,70,4,"Metro_label"
"57",5,9,7.9824,4,"Monitor",25,40,7,1,60,5,1,80,4,"Metro_label"
"58",5,10,3.9831,4,"Monitor",20,30,9,3,50,6,3,70,4,"Metro_label"
"59",5,11,5.6663,4,"Monitor",15,30,7,1,70,4,1,60,3,"Metro_label"
"60",5,12,4.2315,4,"Monitor",15,30,9,3,70,5,3,70,5,"Metro_label"
"61",6,1,6.4608,1,"Monitor",20,20,7,2,70,4,2,70,4,"Metro_label"
"62",6,2,6.0483,1,"Monitor",20,40,7,3,50,5,3,60,4,"Metro_label"
"63",6,3,4.5311,1,"Monitor",25,30,8,3,60,6,3,70,3,"Metro_label"
"64",6,4,3.4832,1,"Monitor",25,30,7,1,50,4,1,70,4,"Metro_label"
"65",6,5,4.1478,1,"Monitor",25,30,9,2,60,5,2,60,5,"RH_label"
"66",6,6,6.0045,1,"Monitor",20,20,9,3,70,4,3,70,5,"RH_label"
"67",6,7,2.9828,1,"Monitor",15,20,9,1,70,5,1,80,3,"RH_label"
