"","pid","Trial","TrialDuration","Block","Device","RH_cost","RH_travel_time","RH_Comfort","metro_cost","metro_travel_time","metro_Comfort","Bus_cost","Bus_travel_time","Bus_Comfort","Choice"
"1",1,1,5.0271,2,"Tablet",15,20,8,3,70,4,3,60,4,"RH_label"
"2",1,2,8.5463,2,"Tablet",20,20,7,3,70,6,3,60,3,"RH_label"
"3",1,3,5.8968,2,"Tablet",15,40,9,1,60,4,1,70,5,"RH_label"
"4",1,4,10.1704,2,"Tablet",25,30,8,2,70,4,2,80,4,"Metro_label"
"5",1,5,4.0703,2,"Tablet",25,20,9,2,60,4,2,70,4,"RH_label"
"6",1,6,5.9665,2,"Tablet",20,30,9,2,50,5,2,60,3,"RH_label"
"7",1,7,7.2194,2,"Tablet",25,40,8,3,60,6,3,70,3,"Metro_label"
"8",1,8,5.3331,2,"Tablet",15,30,7,3,60,4,3,80,5,"Metro_label"
"9",1,9,4.3028,2,"Tablet",20,40,8,1,50,5,1,80,3,"RH_label"
"10",1,10,6.4896,2,"Tablet",15,40,7,1,50,6,1,70,5,"Metro_label"
"11",1,11,7.7199,2,"Tablet",25,20,7,2,70,5,2,80,5,"RH_label"
"12",1,12,7.433,2,"Tablet",25,30,9,1,70,6,1,60,4,"RH_label"
"13",2,1,7.5604,3,"Tablet",25,40,9,1,50,4,1,60,5,"Metro_label"
"14",2,2,7.8826,3,"Tablet",20,30,8,1,70,6,1,80,5,"Metro_label"
"15",2,3,6.915,3,"Tablet",15,30,8,3,50,4,3,80,5,"RH_label"
"16",2,4,6.8997,3,"Tablet",15,30,8,1,60,5,1,70,4,"Metro_label"
"17",2,5,9.3678,3,"Tablet",25,20,7,3,50,5,3,60,5,"RH_label"
"18",2,6,6.4162,3,"Tablet",15,20,7,2,60,5,2,70,3,"RH_label"
"19",2,7,10.483,3,"Tablet",20,30,7,3,60,4,3,80,4,"RH_label"
"20",2,8,8.6164,3,"Tablet",20,40,9,2,60,4,2,80,3,"Metro_label"
"21",2,9,7.6328,3,"Tablet",15,40,9,2,70,6,2,60,4,"Metro_label"
"22",2,10,7.1802,3,"Tablet",25,40,9,3,70,5,3,70,3,"RH_label"
"23",2,11,7.133,3,"Tablet",25,20,8,2,50,6,2,70,5,"RH_label"
"24",2,12,6.1081,3,"Tablet",20,30,7,1,70,6,1,70,3,"RH_label"
"25",3,1,4.6458,1,"Tablet",20,20,7,2,70,4,2,70,4,"Metro_label"
"26",3,2,4.5688,1,"Tablet",20,40,7,3,50,5,3,60,4,"Metro_label"
"27",3,3,4.2164,1,"Tablet",25,30,8,3,60,6,3,70,3,"Metro_label"
"28",3,4,3.7162,1,"Tablet",25,30,7,1,50,4,1,70,4,"Metro_label"
"29",3,5,3.9831,1,"Tablet",25,30,9,2,60,5,2,60,5,"Metro_label"
"30",3,6,4.5319,1,"Tablet",20,20,9,3,70,4,3,70,5,"Bus_label"
"31",3,7,3.733,1,"Tablet",15,20,9,1,70,5,1,80,3,"Metro_label"
"32",3,8,5.8476,1,"Tablet",15,40,8,3,70,5,3,80,4,"Metro_label"
"33",3,9,3.9524,1,"Tablet",20,20,9,1,60,6,1,80,5,"Metro_label"
"34",3,10,2.6833,1,"Tablet",15,20,8,1,60,6,1,60,5,"Metro_label"
"35",3,11,3.9665,1,"Tablet",15,40,8,2,50,4,2,60,3,"Metro_label"
"36",3,12,3.478,1,"Tablet",15,30,7,2,50,6,2,80,3,"Metro_label"
"37",4,1,5.9313,3,"Tablet",25,40,9,1,50,4,1,60,5,"Metro_label"
"38",4,2,5.0828,3,"Tablet",20,30,8,1,70,6,1,80,5,"Metro_label"
"39",4,3,4.3139,3,"Tablet",15,30,8,3,50,4,3,80,5,"Metro_label"
"40",4,4,3.3002,3,"Tablet",15,30,8,1,60,5,1,70,4,"Metro_label"
"41",4,5,3.4669,3,"Tablet",25,20,7,3,50,5,3,60,5,"Metro_label"
"42",4,6,3.9038,3,"Tablet",15,20,7,2,60,5,2,70,3,"Metro_label"
"43",4,7,3.4492,3,"Tablet",20,30,7,3,60,4,3,80,4,"Metro_label"
"44",4,8,2.6831,3,"Tablet",20,40,9,2,60,4,2,80,3,"Metro_label"
"45",4,9,3.3528,3,"Tablet",15,40,9,2,70,6,2,60,4,"Bus_label"
"46",4,10,2.7502,3,"Tablet",25,40,9,3,70,5,3,70,3,"Metro_label"
"47",4,11,2.1491,3,"Tablet",25,20,8,2,50,6,2,70,5,"Metro_label"
"48",4,12,3.3844,3,"Tablet",20,30,7,1,70,6,1,70,3,"Metro_label"
"49",5,1,6.0604,3,"Tablet",25,40,9,1,50,4,1,60,5,"Metro_label"
"50",5,2,6.2292,3,"Tablet",20,30,8,1,70,6,1,80,5,"Metro_label"
"51",5,3,5.2343,3,"Tablet",15,30,8,3,50,4,3,80,5,"Metro_label"
"52",5,4,5.0683,3,"Tablet",15,30,8,1,60,5,1,70,4,"RH_label"
"53",5,5,5.6507,3,"Tablet",25,20,7,3,50,5,3,60,5,"Metro_label"
"54",5,6,4.7008,3,"Tablet",15,20,7,2,60,5,2,70,3,"RH_label"
"55",5,7,7.3703,3,"Tablet",20,30,7,3,60,4,3,80,4,"Metro_label"
"56",5,8,4.0327,3,"Tablet",20,40,9,2,60,4,2,80,3,"Metro_label"
"57",5,9,5.1664,3,"Tablet",15,40,9,2,70,6,2,60,4,"RH_label"
"58",5,10,5.0837,3,"Tablet",25,40,9,3,70,5,3,70,3,"Metro_label"
"59",5,11,5.1494,3,"Tablet",25,20,8,2,50,6,2,70,5,"Metro_label"
"60",5,12,4.483,3,"Tablet",20,30,7,1,70,6,1,70,3,"Metro_label"
"61",6,1,7.8441,3,"Tablet",25,40,9,1,50,4,1,60,5,"Metro_label"
"62",6,2,3.6303,3,"Tablet",20,30,8,1,70,6,1,80,5,"RH_label"
