"","pid","Trial","TrialDuration","Block","Device","cost1","qual1","cost2","qual2","Choice"
"1",1,1,5.3719,1,"Smartphone",7,7,15,9,"Option2_label"
"2",1,2,3.6757,1,"Smartphone",9,1,11,5,"Option2_label"
"3",1,3,3.8338,1,"Smartphone",5,1,7,3,"Option2_label"
"4",1,4,2.0475,1,"Smartphone",9,5,5,3,"Option1_label"
"5",1,5,1.8611,1,"Smartphone",5,3,13,9,"Option2_label"
"6",1,6,4.3985,1,"Smartphone",9,3,11,5,"Option2_label"
"7",1,7,2.1522,1,"Smartphone",7,3,11,9,"Option2_label"
"8",1,8,2.0318,1,"Smartphone",13,9,11,1,"Option1_label"
"9",1,9,2.9162,1,"Smartphone",7,1,15,5,"Option2_label"
"10",1,10,4.4927,1,"Smartphone",15,7,9,5,"Option1_label"
"11",1,11,1.8518,1,"Smartphone",15,9,5,5,"Option1_label"
"12",1,12,1.6164,1,"Smartphone",11,1,13,9,"Option2_label"
"13",2,1,6.4488,2,"Smartphone",7,1,11,9,"Option2_label"
"14",2,2,5.183,2,"Smartphone",13,7,11,1,"Option1_label"
"15",2,3,8.4663,2,"Smartphone",15,9,7,3,"Option1_label"
"16",2,4,4.7365,2,"Smartphone",15,9,9,7,"Option2_label"
"17",2,5,5.6331,2,"Smartphone",7,3,11,7,"Option2_label"
"18",2,6,4.3998,2,"Smartphone",11,3,11,3,"Option2_label"
"19",2,7,4.2484,2,"Smartphone",7,3,9,7,"Option2_label"
"20",2,8,7.7322,2,"Smartphone",13,5,7,1,"Option1_label"
"21",2,9,5.1162,2,"Smartphone",15,5,7,1,"Option1_label"
"22",2,10,3.5999,2,"Smartphone",5,3,13,5,"Option1_label"
"23",2,11,4.9164,2,"Smartphone",13,9,9,7,"Option2_label"
"24",2,12,4.4162,2,"Smartphone",15,9,13,1,"Option1_label"
"25",3,1,3.257,3,"Smartphone",11,9,9,1,"Option1_label"
"26",3,2,2.233,3,"Smartphone",5,5,13,7,"Option1_label"
"27",3,3,2.4499,3,"Smartphone",5,5,15,9,"Option2_label"
"28",3,4,2.5158,3,"Smartphone",9,5,15,9,"Option2_label"
"29",3,5,2.9325,3,"Smartphone",5,1,15,3,"Option1_label"
"30",3,6,2.0689,3,"Smartphone",9,9,5,7,"Option1_label"
"31",3,7,3.048,3,"Smartphone",15,7,7,1,"Option1_label"
"32",3,8,2.2664,3,"Smartphone",11,7,7,1,"Option1_label"
"33",3,9,2.4504,3,"Smartphone",9,7,5,3,"Option1_label"
"34",3,10,3.2022,3,"Smartphone",13,7,9,5,"Option2_label"
"35",3,11,1.9162,3,"Smartphone",9,3,15,9,"Option2_label"
"36",3,12,2.5024,3,"Smartphone",11,1,13,3,"Option1_label"
"37",4,1,3.695,4,"Smartphone",11,5,13,9,"Option2_label"
"38",4,2,3.0856,4,"Smartphone",5,1,13,7,"Option2_label"
"39",4,3,3.7187,4,"Smartphone",13,1,15,3,"Option2_label"
"40",4,4,2.4625,4,"Smartphone",7,9,5,5,"Option1_label"
"41",4,5,2.2531,4,"Smartphone",9,1,15,9,"Option2_label"
"42",4,6,2.3014,4,"Smartphone",13,1,15,9,"Option2_label"
"43",4,7,2.7163,4,"Smartphone",11,9,5,1,"Option1_label"
"44",4,8,2.4176,4,"Smartphone",5,1,15,5,"Option2_label"
"45",4,9,2.9003,4,"Smartphone",11,9,7,7,"Option1_label"
"46",4,10,2.4644,4,"Smartphone",7,5,9,9,"Option2_label"
"47",4,11,2.0877,4,"Smartphone",15,3,5,1,"Option1_label"
"48",4,12,2.0664,4,"Smartphone",13,5,5,1,"Option1_label"
"49",5,1,5.9622,2,"Smartphone",7,1,11,9,"Option2_label"
"50",5,2,3.2329,2,"Smartphone",13,7,11,1,"Option1_label"
"51",5,3,3.0664,2,"Smartphone",15,9,7,3,"Option1_label"
"52",5,4,3.3499,2,"Smartphone",15,9,9,7,"Option2_label"
"53",5,5,3.7998,2,"Smartphone",7,3,11,7,"Option2_label"
"54",5,6,5.3634,2,"Smartphone",11,3,11,3,"Option1_label"
"55",5,7,4.1832,2,"Smartphone",7,3,9,7,"Option2_label"
"56",5,8,6.9654,2,"Smartphone",13,5,7,1,"Option2_label"
"57",5,9,5.1776,2,"Smartphone",15,5,7,1,"Option1_label"
"58",5,10,4.183,2,"Smartphone",5,3,13,5,"Option1_label"
"59",5,11,3.7809,2,"Smartphone",13,9,9,7,"Option1_label"
"60",5,12,3.1821,2,"Smartphone",15,9,13,1,"Option1_label"
"61",6,1,5.5271,3,"Smartphone",11,9,9,1,"Option1_label"
"62",6,2,7.3495,3,"Smartphone",5,5,13,7,"Option1_label"
"63",6,3,13.8342,3,"Smartphone",5,5,15,9,"Option1_label"
"64",6,4,6.1499,3,"Smartphone",9,5,15,9,"Option1_label"
"65",6,5,9.816,3,"Smartphone",5,1,15,3,"Option1_label"
"66",6,6,5.1498,3,"Smartphone",9,9,5,7,"Option2_label"
"67",6,7,5.5663,3,"Smartphone",15,7,7,1,"Option1_label"
"68",6,8,3.6644,3,"Smartphone",11,7,7,1,"Option1_label"
"69",6,9,5.7537,3,"Smartphone",9,7,5,3,"Option1_label"
"70",6,10,5.1998,3,"Smartphone",13,7,9,5,"Option1_label"
"71",6,11,5.0981,3,"Smartphone",9,3,15,9,"Option2_label"
"72",6,12,2.3997,3,"Smartphone",11,1,13,3,"Option2_label"
"73",7,1,5.9349,3,"Smartphone",11,9,9,1,"Option1_label"
"74",7,2,8.7817,3,"Smartphone",5,5,13,7,"Option2_label"
"75",7,3,10.1806,3,"Smartphone",5,5,15,9,"Option1_label"
"76",7,4,6.5997,3,"Smartphone",9,5,15,9,"Option1_label"
"77",7,5,5.5665,3,"Smartphone",5,1,15,3,"Option1_label"
"78",7,6,10.5484,3,"Smartphone",9,9,5,7,"Option2_label"
"79",7,7,8.7835,3,"Smartphone",15,7,7,1,"Option2_label"
"80",7,8,15.9034,3,"Smartphone",11,7,7,1,"Option1_label"
"81",7,9,11.7182,3,"Smartphone",9,7,5,3,"Option2_label"
"82",7,10,13.9159,3,"Smartphone",13,7,9,5,"Option2_label"
"83",7,11,7.1836,3,"Smartphone",9,3,15,9,"Option1_label"
"84",7,12,6.9832,3,"Smartphone",11,1,13,3,"Option2_label"
"85",8,1,7.194,4,"Smartphone",11,5,13,9,"Option2_label"
"86",8,2,5.2704,4,"Smartphone",5,1,13,7,"Option2_label"
"87",8,3,5.1656,4,"Smartphone",13,1,15,3,"Option2_label"
"88",8,4,3.9695,4,"Smartphone",7,9,5,5,"Option1_label"
"89",8,5,3.3664,4,"Smartphone",9,1,15,9,"Option2_label"
"90",8,6,3.6133,4,"Smartphone",13,1,15,9,"Option2_label"
"91",8,7,5.9314,4,"Smartphone",11,9,5,1,"Option1_label"
"92",8,8,6.1523,4,"Smartphone",5,1,15,5,"Option1_label"
"93",8,9,9.5511,4,"Smartphone",11,9,7,7,"Option1_label"
"94",8,10,4.0816,4,"Smartphone",7,5,9,9,"Option2_label"
"95",8,11,5.6331,4,"Smartphone",15,3,5,1,"Option2_label"
"96",8,12,4.9818,4,"Smartphone",13,5,5,1,"Option1_label"
"97",9,1,7.6914,1,"Smartphone",7,7,15,9,"Option1_label"
"98",9,2,4.3826,1,"Smartphone",9,1,11,5,"Option2_label"
"99",9,3,6.8695,1,"Smartphone",5,1,7,3,"Option2_label"
"100",9,4,4.4164,1,"Smartphone",9,5,5,3,"Option2_label"
"101",9,5,3.5007,1,"Smartphone",5,3,13,9,"Option1_label"
"102",9,6,4.1972,1,"Smartphone",9,3,11,5,"Option2_label"
"103",9,7,3.4286,1,"Smartphone",7,3,11,9,"Option2_label"
"104",9,8,3.4832,1,"Smartphone",13,9,11,1,"Option1_label"
"105",9,9,5.2831,1,"Smartphone",7,1,15,5,"Option1_label"
"106",9,10,5.032,1,"Smartphone",15,7,9,5,"Option2_label"
"107",9,11,4.0001,1,"Smartphone",15,9,5,5,"Option2_label"
"108",9,12,3.0186,1,"Smartphone",11,1,13,9,"Option2_label"
"109",10,1,4.991,1,"Smartphone",7,7,15,9,"Option1_label"
"110",10,2,3.4996,1,"Smartphone",9,1,11,5,"Option2_label"
"111",10,3,4.9421,1,"Smartphone",5,1,7,3,"Option2_label"
"112",10,4,4.5136,1,"Smartphone",9,5,5,3,"Option2_label"
"113",10,5,4.0804,1,"Smartphone",5,3,13,9,"Option2_label"
"114",10,6,3.8164,1,"Smartphone",9,3,11,5,"Option2_label"
"115",10,7,4.05,1,"Smartphone",7,3,11,9,"Option2_label"
"116",10,8,3.9005,1,"Smartphone",13,9,11,1,"Option1_label"
"117",10,9,3.4335,1,"Smartphone",7,1,15,5,"Option1_label"
"118",10,10,8.6497,1,"Smartphone",15,7,9,5,"Option2_label"
"119",10,11,4.1708,1,"Smartphone",15,9,5,5,"Option2_label"
"120",10,12,2.8497,1,"Smartphone",11,1,13,9,"Option2_label"
"121",11,1,4.7148,1,"Smartphone",7,7,15,9,"Option1_label"
"122",11,2,5.4836,1,"Smartphone",9,1,11,5,"Option2_label"
"123",11,3,5.1353,1,"Smartphone",5,1,7,3,"Option2_label"
"124",11,4,8.9943,1,"Smartphone",9,5,5,3,"Option2_label"
"125",11,5,10.032,1,"Smartphone",5,3,13,9,"Option1_label"
"126",11,6,6.4497,1,"Smartphone",9,3,11,5,"Option2_label"
"127",11,7,11.2165,1,"Smartphone",7,3,11,9,"Option2_label"
"128",11,8,8.1363,1,"Smartphone",13,9,11,1,"Option1_label"
"129",11,9,10.9671,1,"Smartphone",7,1,15,5,"Option2_label"
"130",11,10,4.812,1,"Smartphone",15,7,9,5,"Option2_label"
"131",11,11,5.0154,1,"Smartphone",15,9,5,5,"Option2_label"
"132",11,12,4.9795,1,"Smartphone",11,1,13,9,"Option2_label"
"133",12,1,5.0853,1,"Smartphone",7,7,15,9,"Option1_label"
"134",12,2,2.8597,1,"Smartphone",9,1,11,5,"Option2_label"
"135",12,3,3.3436,1,"Smartphone",5,1,7,3,"Option2_label"
"136",12,4,2.9879,1,"Smartphone",9,5,5,3,"Option1_label"
"137",12,5,4.7019,1,"Smartphone",5,3,13,9,"Option2_label"
"138",12,6,3.3031,1,"Smartphone",9,3,11,5,"Option2_label"
"139",12,7,4.5809,1,"Smartphone",7,3,11,9,"Option2_label"
"140",12,8,2.6503,1,"Smartphone",13,9,11,1,"Option1_label"
"141",12,9,3.6252,1,"Smartphone",7,1,15,5,"Option2_label"
"142",12,10,4.466,1,"Smartphone",15,7,9,5,"Option2_label"
"143",12,11,2.909,1,"Smartphone",15,9,5,5,"Option2_label"
"144",12,12,2.3782,1,"Smartphone",11,1,13,9,"Option2_label"
"145",13,1,3.2289,4,"Smartphone",11,5,13,9,"Option2_label"
"146",13,2,6.9,4,"Smartphone",5,1,13,7,"Option2_label"
"147",13,3,4.7641,4,"Smartphone",13,1,15,3,"Option2_label"
"148",13,4,3.5626,4,"Smartphone",7,9,5,5,"Option1_label"
"149",13,5,3.216,4,"Smartphone",9,1,15,9,"Option2_label"
"150",13,6,2.831,4,"Smartphone",13,1,15,9,"Option2_label"
"151",13,7,3.4482,4,"Smartphone",11,9,5,1,"Option1_label"
"152",13,8,5.3487,4,"Smartphone",5,1,15,5,"Option1_label"
"153",13,9,5.1167,4,"Smartphone",11,9,7,7,"Option2_label"
"154",13,10,4.9496,4,"Smartphone",7,5,9,9,"Option2_label"
"155",13,11,3.0963,4,"Smartphone",15,3,5,1,"Option2_label"
"156",13,12,5.1698,4,"Smartphone",13,5,5,1,"Option1_label"
"157",14,1,8.589,2,"Smartphone",7,1,11,9,"Option2_label"
"158",14,2,4.365,2,"Smartphone",13,7,11,1,"Option1_label"
"159",14,3,2.7498,2,"Smartphone",15,9,7,3,"Option1_label"
"160",14,4,2.6663,2,"Smartphone",15,9,9,7,"Option1_label"
"161",14,5,2.8164,2,"Smartphone",7,3,11,7,"Option2_label"
"162",14,6,3.5486,2,"Smartphone",11,3,11,3,"Option2_label"
"163",14,7,3.0165,2,"Smartphone",7,3,9,7,"Option2_label"
"164",14,8,2.4665,2,"Smartphone",13,5,7,1,"Option1_label"
"165",14,9,4.2997,2,"Smartphone",15,5,7,1,"Option1_label"
"166",14,10,2.9184,2,"Smartphone",5,3,13,5,"Option2_label"
"167",14,11,2.4327,2,"Smartphone",13,9,9,7,"Option1_label"
"168",14,12,2.8172,2,"Smartphone",15,9,13,1,"Option1_label"
