"","pid","Trial","TrialDuration","Block","Device","cost1","qual1","cost2","qual2","Choice"
"1",1,1,3.4125,2,"Laptop",7,1,11,9,"Option2_label"
"2",1,2,2.9182,2,"Laptop",13,7,11,1,"Option1_label"
"3",1,3,3.4695,2,"Laptop",15,9,7,3,"Option1_label"
"4",1,4,3.5251,2,"Laptop",15,9,9,7,"Option2_label"
"5",1,5,3.0125,2,"Laptop",7,3,11,7,"Option1_label"
"6",1,6,2.8003,2,"Laptop",11,3,11,3,"Option1_label"
"7",1,7,3.0113,2,"Laptop",7,3,9,7,"Option2_label"
"8",1,8,4.2127,2,"Laptop",13,5,7,1,"Option1_label"
"9",1,9,2.8446,2,"Laptop",15,5,7,1,"Option1_label"
"10",1,10,2.3632,2,"Laptop",5,3,13,5,"Option2_label"
"11",1,11,3.0829,2,"Laptop",13,9,9,7,"Option1_label"
"12",1,12,2.5496,2,"Laptop",15,9,13,1,"Option1_label"
"13",2,1,8.5727,3,"Monitor",11,9,9,1,"Option1_label"
"14",2,2,4.5528,3,"Monitor",5,5,13,7,"Option1_label"
"15",2,3,5.379,3,"Monitor",5,5,15,9,"Option1_label"
"16",2,4,7.117,3,"Monitor",9,5,15,9,"Option1_label"
"17",2,5,6.0163,3,"Monitor",5,1,15,3,"Option1_label"
"18",2,6,5.1997,3,"Monitor",9,9,5,7,"Option2_label"
"19",2,7,4.6358,3,"Monitor",15,7,7,1,"Option1_label"
"20",2,8,5.2998,3,"Monitor",11,7,7,1,"Option1_label"
"21",2,9,4.9965,3,"Monitor",9,7,5,3,"Option1_label"
"22",2,10,4.0525,3,"Monitor",13,7,9,5,"Option2_label"
"23",2,11,4.9499,3,"Monitor",9,3,15,9,"Option2_label"
"24",2,12,5.5359,3,"Monitor",11,1,13,3,"Option2_label"
"25",3,1,4.5133,2,"Monitor",7,1,11,9,"Option2_label"
"26",3,2,3.605,2,"Monitor",13,7,11,1,"Option1_label"
"27",3,3,4.2372,2,"Monitor",15,9,7,3,"Option2_label"
"28",3,4,5.4312,2,"Monitor",15,9,9,7,"Option2_label"
"29",3,5,2.5829,2,"Monitor",7,3,11,7,"Option2_label"
"30",3,6,3.3481,2,"Monitor",11,3,11,3,"Option1_label"
"31",3,7,3.2352,2,"Monitor",7,3,9,7,"Option2_label"
"32",3,8,3.9538,2,"Monitor",13,5,7,1,"Option1_label"
"33",3,9,5.3996,2,"Monitor",15,5,7,1,"Option2_label"
"34",3,10,3.8482,2,"Monitor",5,3,13,5,"Option1_label"
"35",3,11,4.4635,2,"Monitor",13,9,9,7,"Option2_label"
"36",3,12,3.6169,2,"Monitor",15,9,13,1,"Option1_label"
"37",4,1,4.7782,2,"Monitor",7,1,11,9,"Option2_label"
"38",4,2,2.3664,2,"Monitor",13,7,11,1,"Option1_label"
"39",4,3,2.2162,2,"Monitor",15,9,7,3,"Option1_label"
"40",4,4,2.2188,2,"Monitor",15,9,9,7,"Option1_label"
"41",4,5,2.233,2,"Monitor",7,3,11,7,"Option2_label"
"42",4,6,2.1142,2,"Monitor",11,3,11,3,"Option1_label"
"43",4,7,2.2331,2,"Monitor",7,3,9,7,"Option2_label"
"44",4,8,1.9984,2,"Monitor",13,5,7,1,"Option1_label"
"45",4,9,2.1467,2,"Monitor",15,5,7,1,"Option1_label"
"46",4,10,2.221,2,"Monitor",5,3,13,5,"Option2_label"
"47",4,11,2.0497,2,"Monitor",13,9,9,7,"Option1_label"
"48",4,12,1.9051,2,"Monitor",15,9,13,1,"Option1_label"
"49",5,1,4.6791,3,"Monitor",11,9,9,1,"Option1_label"
"50",5,2,4.3779,3,"Monitor",5,5,13,7,"Option1_label"
"51",5,3,4.5662,3,"Monitor",5,5,15,9,"Option1_label"
"52",5,4,4.4136,3,"Monitor",9,5,15,9,"Option2_label"
"53",5,5,4.7371,3,"Monitor",5,1,15,3,"Option1_label"
"54",5,6,3.7665,3,"Monitor",9,9,5,7,"Option2_label"
"55",5,7,4.3543,3,"Monitor",15,7,7,1,"Option1_label"
"56",5,8,3.9831,3,"Monitor",11,7,7,1,"Option1_label"
"57",5,9,3.3,3,"Monitor",9,7,5,3,"Option1_label"
"58",5,10,3.5826,3,"Monitor",13,7,9,5,"Option1_label"
"59",5,11,2.6017,3,"Monitor",9,3,15,9,"Option2_label"
"60",5,12,2.6466,3,"Monitor",11,1,13,3,"Option1_label"
"61",6,1,4.365,4,"Monitor",11,5,13,9,"Option2_label"
"62",6,2,2.1665,4,"Monitor",5,1,13,7,"Option2_label"
"63",6,3,2.3342,4,"Monitor",13,1,15,3,"Option2_label"
"64",6,4,2.533,4,"Monitor",7,9,5,5,"Option1_label"
"65",6,5,2.4854,4,"Monitor",9,1,15,9,"Option2_label"
"66",6,6,1.933,4,"Monitor",13,1,15,9,"Option2_label"
"67",6,7,2.3496,4,"Monitor",11,9,5,1,"Option1_label"
"68",6,8,2.5521,4,"Monitor",5,1,15,5,"Option2_label"
"69",6,9,2.6581,4,"Monitor",11,9,7,7,"Option1_label"
"70",6,10,3.2171,4,"Monitor",7,5,9,9,"Option2_label"
"71",6,11,2.0834,4,"Monitor",15,3,5,1,"Option1_label"
"72",6,12,2.7026,4,"Monitor",13,5,5,1,"Option1_label"
"73",7,1,6.6954,3,"Monitor",11,9,9,1,"Option1_label"
"74",7,2,9.683,3,"Monitor",5,5,13,7,"Option2_label"
"75",7,3,3.9997,3,"Monitor",5,5,15,9,"Option2_label"
"76",7,4,5.433,3,"Monitor",9,5,15,9,"Option2_label"
"77",7,5,10.453,3,"Monitor",5,1,15,3,"Option1_label"
"78",7,6,9.7519,3,"Monitor",9,9,5,7,"Option2_label"
"79",7,7,11.4156,3,"Monitor",15,7,7,1,"Option1_label"
"80",7,8,6.2331,3,"Monitor",11,7,7,1,"Option1_label"
"81",7,9,10.6478,3,"Monitor",9,7,5,3,"Option2_label"
"82",7,10,9.3493,3,"Monitor",13,7,9,5,"Option2_label"
"83",7,11,15.333,3,"Monitor",9,3,15,9,"Option2_label"
"84",7,12,6.5305,3,"Monitor",11,1,13,3,"Option1_label"
"85",8,1,5.1617,1,"Monitor",7,7,15,9,"Option2_label"
"86",8,2,4.0111,1,"Monitor",9,1,11,5,"Option2_label"
"87",8,3,4.8688,1,"Monitor",5,1,7,3,"Option2_label"
"88",8,4,9.4972,1,"Monitor",9,5,5,3,"Option1_label"
"89",8,5,4.1098,1,"Monitor",5,3,13,9,"Option2_label"
"90",8,6,4.5508,1,"Monitor",9,3,11,5,"Option2_label"
"91",8,7,8.2265,1,"Monitor",7,3,11,9,"Option2_label"
"92",8,8,3.6451,1,"Monitor",13,9,11,1,"Option1_label"
"93",8,9,12.2853,1,"Monitor",7,1,15,5,"Option2_label"
"94",8,10,6.4671,1,"Monitor",15,7,9,5,"Option2_label"
"95",8,11,12.7819,1,"Monitor",15,9,5,5,"Option2_label"
"96",8,12,3.2162,1,"Monitor",11,1,13,9,"Option2_label"
"97",9,1,8.8263,1,"Monitor",7,7,15,9,"Option1_label"
"98",9,2,5.4184,1,"Monitor",9,1,11,5,"Option2_label"
"99",9,3,5.7189,1,"Monitor",5,1,7,3,"Option2_label"
"100",9,4,11.9955,1,"Monitor",9,5,5,3,"Option1_label"
"101",9,5,3.701,1,"Monitor",5,3,13,9,"Option2_label"
"102",9,6,6.7234,1,"Monitor",9,3,11,5,"Option2_label"
"103",9,7,7.7821,1,"Monitor",7,3,11,9,"Option2_label"
"104",9,8,2.483,1,"Monitor",13,9,11,1,"Option1_label"
"105",9,9,10.4824,1,"Monitor",7,1,15,5,"Option1_label"
"106",9,10,10.6731,1,"Monitor",15,7,9,5,"Option2_label"
"107",9,11,5.1486,1,"Monitor",15,9,5,5,"Option2_label"
"108",9,12,4.3849,1,"Monitor",11,1,13,9,"Option2_label"
"109",10,1,5.2155,2,"Monitor",7,1,11,9,"Option2_label"
"110",10,2,4.9001,2,"Monitor",13,7,11,1,"Option1_label"
"111",10,3,3.9668,2,"Monitor",15,9,7,3,"Option1_label"
"112",10,4,5.733,2,"Monitor",15,9,9,7,"Option1_label"
"113",10,5,4.1464,2,"Monitor",7,3,11,7,"Option2_label"
"114",10,6,4.8462,2,"Monitor",11,3,11,3,"Option1_label"
"115",10,7,4.7331,2,"Monitor",7,3,9,7,"Option2_label"
"116",10,8,4.1294,2,"Monitor",13,5,7,1,"Option1_label"
"117",10,9,8.4695,2,"Monitor",15,5,7,1,"Option2_label"
"118",10,10,4.8798,2,"Monitor",5,3,13,5,"Option1_label"
"119",10,11,4.733,2,"Monitor",13,9,9,7,"Option1_label"
"120",10,12,3.282,2,"Monitor",15,9,13,1,"Option1_label"
"121",11,1,5.8704,3,"Monitor",11,9,9,1,"Option1_label"
"122",11,2,5.1331,3,"Monitor",5,5,13,7,"Option2_label"
"123",11,3,5.8437,3,"Monitor",5,5,15,9,"Option1_label"
"124",11,4,3.4362,3,"Monitor",9,5,15,9,"Option2_label"
"125",11,5,6.4224,3,"Monitor",5,1,15,3,"Option1_label"
"126",11,6,5.0471,3,"Monitor",9,9,5,7,"Option2_label"
"127",11,7,14.9831,3,"Monitor",15,7,7,1,"Option1_label"
"128",11,8,4.8354,3,"Monitor",11,7,7,1,"Option1_label"
"129",11,9,5.4204,3,"Monitor",9,7,5,3,"Option1_label"
"130",11,10,11.9663,3,"Monitor",13,7,9,5,"Option2_label"
"131",11,11,7.3685,3,"Monitor",9,3,15,9,"Option2_label"
"132",11,12,4.4314,3,"Monitor",11,1,13,3,"Option2_label"
"133",12,1,9.0952,3,"Monitor",11,9,9,1,"Option1_label"
"134",12,2,4.7986,3,"Monitor",5,5,13,7,"Option2_label"
"135",12,3,5.0482,3,"Monitor",5,5,15,9,"Option1_label"
"136",12,4,5.5444,3,"Monitor",9,5,15,9,"Option2_label"
"137",12,5,3.7994,3,"Monitor",5,1,15,3,"Option1_label"
"138",12,6,3.5418,3,"Monitor",9,9,5,7,"Option1_label"
"139",12,7,5.1904,3,"Monitor",15,7,7,1,"Option1_label"
"140",12,8,3.9644,3,"Monitor",11,7,7,1,"Option1_label"
"141",12,9,2.5034,3,"Monitor",9,7,5,3,"Option1_label"
"142",12,10,2.7421,3,"Monitor",13,7,9,5,"Option1_label"
"143",12,11,5.352,3,"Monitor",9,3,15,9,"Option2_label"
"144",12,12,6.2313,3,"Monitor",11,1,13,3,"Option2_label"
"145",13,1,4.3561,1,"Monitor",7,7,15,9,"Option1_label"
"146",13,2,3.2834,1,"Monitor",9,1,11,5,"Option2_label"
"147",13,3,3.2182,1,"Monitor",5,1,7,3,"Option2_label"
"148",13,4,3.9973,1,"Monitor",9,5,5,3,"Option1_label"
"149",13,5,3.165,1,"Monitor",5,3,13,9,"Option2_label"
"150",13,6,3.1853,1,"Monitor",9,3,11,5,"Option2_label"
"151",13,7,2.5433,1,"Monitor",7,3,11,9,"Option2_label"
"152",13,8,2.6331,1,"Monitor",13,9,11,1,"Option1_label"
"153",13,9,3.066,1,"Monitor",7,1,15,5,"Option2_label"
"154",13,10,3.8613,1,"Monitor",15,7,9,5,"Option2_label"
"155",13,11,2.9165,1,"Monitor",15,9,5,5,"Option1_label"
"156",13,12,2.4138,1,"Monitor",11,1,13,9,"Option2_label"
"157",14,1,3.1615,4,"Monitor",11,5,13,9,"Option2_label"
"158",14,2,1.6332,4,"Monitor",5,1,13,7,"Option2_label"
"159",14,3,1.9338,4,"Monitor",13,1,15,3,"Option2_label"
"160",14,4,2.083,4,"Monitor",7,9,5,5,"Option1_label"
"161",14,5,2.0155,4,"Monitor",9,1,15,9,"Option2_label"
"162",14,6,1.6998,4,"Monitor",13,1,15,9,"Option2_label"
"163",14,7,2.033,4,"Monitor",11,9,5,1,"Option1_label"
"164",14,8,2.0999,4,"Monitor",5,1,15,5,"Option2_label"
"165",14,9,1.9813,4,"Monitor",11,9,7,7,"Option1_label"
"166",14,10,1.6657,4,"Monitor",7,5,9,9,"Option2_label"
"167",14,11,2.1855,4,"Monitor",15,3,5,1,"Option1_label"
"168",14,12,2.0952,4,"Monitor",13,5,5,1,"Option1_label"
"169",15,1,5.2822,4,"Monitor",11,5,13,9,"Option2_label"
"170",15,2,3.9494,4,"Monitor",5,1,13,7,"Option2_label"
"171",15,3,4.3498,4,"Monitor",13,1,15,3,"Option2_label"
"172",15,4,3.9329,4,"Monitor",7,9,5,5,"Option1_label"
"173",15,5,4.2366,4,"Monitor",9,1,15,9,"Option2_label"
"174",15,6,3.4664,4,"Monitor",13,1,15,9,"Option2_label"
"175",15,7,4.3164,4,"Monitor",11,9,5,1,"Option1_label"
"176",15,8,4.2329,4,"Monitor",5,1,15,5,"Option1_label"
"177",15,9,5.3828,4,"Monitor",11,9,7,7,"Option2_label"
"178",15,10,6.0163,4,"Monitor",7,5,9,9,"Option2_label"
"179",15,11,3.2665,4,"Monitor",15,3,5,1,"Option2_label"
"180",15,12,2.8163,4,"Monitor",13,5,5,1,"Option2_label"
