"","pid","Trial","TrialDuration","Block","Device","cost1","qual1","cost2","qual2","Choice"
"1",1,1,2.9379,2,"Tablet",7,1,11,9,"Option2_label"
"2",1,2,4.181,2,"Tablet",13,7,11,1,"Option1_label"
"3",1,3,3.0166,2,"Tablet",15,9,7,3,"Option1_label"
"4",1,4,3.5992,2,"Tablet",15,9,9,7,"Option2_label"
"5",1,5,2.3287,2,"Tablet",7,3,11,7,"Option2_label"
"6",1,6,2.2996,2,"Tablet",11,3,11,3,"Option2_label"
"7",1,7,2.8944,2,"Tablet",7,3,9,7,"Option2_label"
"8",1,8,2.852,2,"Tablet",13,5,7,1,"Option2_label"
"9",1,9,6.2689,2,"Tablet",15,5,7,1,"Option1_label"
"10",1,10,3.1193,2,"Tablet",5,3,13,5,"Option1_label"
"11",1,11,4.464,2,"Tablet",13,9,9,7,"Option2_label"
"12",1,12,2.3121,2,"Tablet",15,9,13,1,"Option1_label"
"13",2,1,4.3311,2,"Tablet",7,1,11,9,"Option2_label"
"14",2,2,4.7232,2,"Tablet",13,7,11,1,"Option1_label"
"15",2,3,5.0664,2,"Tablet",15,9,7,3,"Option1_label"
"16",2,4,3.8643,2,"Tablet",15,9,9,7,"Option2_label"
"17",2,5,4.58,2,"Tablet",7,3,11,7,"Option2_label"
"18",2,6,2.3823,2,"Tablet",11,3,11,3,"Option2_label"
"19",2,7,3.8038,2,"Tablet",7,3,9,7,"Option2_label"
"20",2,8,4.8163,2,"Tablet",13,5,7,1,"Option1_label"
"21",2,9,4.6467,2,"Tablet",15,5,7,1,"Option1_label"
"22",2,10,3.9856,2,"Tablet",5,3,13,5,"Option1_label"
"23",2,11,5.1968,2,"Tablet",13,9,9,7,"Option2_label"
"24",2,12,4.4338,2,"Tablet",15,9,13,1,"Option1_label"
"25",3,1,4.0771,2,"Tablet",7,1,11,9,"Option2_label"
"26",3,2,2.0133,2,"Tablet",13,7,11,1,"Option1_label"
"27",3,3,2.3999,2,"Tablet",15,9,7,3,"Option1_label"
"28",3,4,2.4187,2,"Tablet",15,9,9,7,"Option1_label"
"29",3,5,2.1685,2,"Tablet",7,3,11,7,"Option2_label"
"30",3,6,2.7968,2,"Tablet",11,3,11,3,"Option1_label"
"31",3,7,3.1169,2,"Tablet",7,3,9,7,"Option2_label"
"32",3,8,2.3201,2,"Tablet",13,5,7,1,"Option1_label"
"33",3,9,4.5336,2,"Tablet",15,5,7,1,"Option1_label"
"34",3,10,3.0041,2,"Tablet",5,3,13,5,"Option1_label"
"35",3,11,3.6168,2,"Tablet",13,9,9,7,"Option2_label"
"36",3,12,2.6293,2,"Tablet",15,9,13,1,"Option1_label"
"37",4,1,5.2946,2,"Tablet",7,1,11,9,"Option2_label"
"38",4,2,3.264,2,"Tablet",13,7,11,1,"Option1_label"
"39",4,3,3.6837,2,"Tablet",15,9,7,3,"Option1_label"
"40",4,4,5.0246,2,"Tablet",15,9,9,7,"Option2_label"
"41",4,5,3.4661,2,"Tablet",7,3,11,7,"Option2_label"
"42",4,6,2.8518,2,"Tablet",11,3,11,3,"Option2_label"
"43",4,7,2.6324,2,"Tablet",7,3,9,7,"Option2_label"
"44",4,8,2.6179,2,"Tablet",13,5,7,1,"Option1_label"
"45",4,9,3.9355,2,"Tablet",15,5,7,1,"Option2_label"
"46",4,10,2.6831,2,"Tablet",5,3,13,5,"Option2_label"
"47",4,11,2.8174,2,"Tablet",13,9,9,7,"Option1_label"
"48",4,12,3.2643,2,"Tablet",15,9,13,1,"Option1_label"
"49",5,1,2.9119,3,"Tablet",11,9,9,1,"Option1_label"
"50",5,2,3.7952,3,"Tablet",5,5,13,7,"Option1_label"
"51",5,3,3.6328,3,"Tablet",5,5,15,9,"Option1_label"
"52",5,4,5.2997,3,"Tablet",9,5,15,9,"Option2_label"
"53",5,5,2.4169,3,"Tablet",5,1,15,3,"Option1_label"
"54",5,6,2.7647,3,"Tablet",9,9,5,7,"Option2_label"
"55",5,7,2.8152,3,"Tablet",15,7,7,1,"Option1_label"
"56",5,8,2.5468,3,"Tablet",11,7,7,1,"Option1_label"
"57",5,9,4.9982,3,"Tablet",9,7,5,3,"Option1_label"
"58",5,10,5.6362,3,"Tablet",13,7,9,5,"Option2_label"
"59",5,11,3.4635,3,"Tablet",9,3,15,9,"Option2_label"
"60",5,12,2.9332,3,"Tablet",11,1,13,3,"Option1_label"
"61",6,1,6.346,1,"Tablet",7,7,15,9,"Option1_label"
"62",6,2,5.3887,1,"Tablet",9,1,11,5,"Option2_label"
"63",6,3,3.0836,1,"Tablet",5,1,7,3,"Option2_label"
"64",6,4,3.2497,1,"Tablet",9,5,5,3,"Option1_label"
"65",6,5,3.2804,1,"Tablet",5,3,13,9,"Option2_label"
"66",6,6,4.3618,1,"Tablet",9,3,11,5,"Option2_label"
"67",6,7,2.6685,1,"Tablet",7,3,11,9,"Option2_label"
"68",6,8,2.8664,1,"Tablet",13,9,11,1,"Option1_label"
"69",6,9,3.8986,1,"Tablet",7,1,15,5,"Option2_label"
"70",6,10,6.2163,1,"Tablet",15,7,9,5,"Option2_label"
"71",6,11,6.2997,1,"Tablet",15,9,5,5,"Option1_label"
