"","pid","X","Trial","TrialDuration","Block","Device","cost1","qual1","cost2","qual2","Choice","type","experiment","Cost_FT_time","Qual_FT_time","Other_FT_time","Cost_FT_count","Qual_FT_count","Other_FT_count","Tot_time","Tot_counts"
"1",1,1,1,2.9379,2,"Tablet",7,1,11,9,"Option2_label","WG","tablet",35312.39999917,37634.39999863,62500.19999957,302,282,537,135446.99999737,1121
"2",1,2,2,4.181,2,"Tablet",13,7,11,1,"Option1_label","WG","tablet",35312.39999917,37634.39999863,62500.19999957,302,282,537,135446.99999737,1121
"3",1,3,3,3.0166,2,"Tablet",15,9,7,3,"Option1_label","WG","tablet",35312.39999917,37634.39999863,62500.19999957,302,282,537,135446.99999737,1121
"4",1,4,4,3.5992,2,"Tablet",15,9,9,7,"Option2_label","WG","tablet",35312.39999917,37634.39999863,62500.19999957,302,282,537,135446.99999737,1121
"5",1,5,5,2.3287,2,"Tablet",7,3,11,7,"Option2_label","WG","tablet",35312.39999917,37634.39999863,62500.19999957,302,282,537,135446.99999737,1121
"6",1,6,6,2.2996,2,"Tablet",11,3,11,3,"Option2_label","WG","tablet",35312.39999917,37634.39999863,62500.19999957,302,282,537,135446.99999737,1121
"7",1,7,7,2.8944,2,"Tablet",7,3,9,7,"Option2_label","WG","tablet",35312.39999917,37634.39999863,62500.19999957,302,282,537,135446.99999737,1121
"8",1,8,8,2.852,2,"Tablet",13,5,7,1,"Option2_label","WG","tablet",35312.39999917,37634.39999863,62500.19999957,302,282,537,135446.99999737,1121
"9",1,9,9,6.2689,2,"Tablet",15,5,7,1,"Option1_label","WG","tablet",35312.39999917,37634.39999863,62500.19999957,302,282,537,135446.99999737,1121
"10",1,10,10,3.1193,2,"Tablet",5,3,13,5,"Option1_label","WG","tablet",35312.39999917,37634.39999863,62500.19999957,302,282,537,135446.99999737,1121
"11",1,11,11,4.464,2,"Tablet",13,9,9,7,"Option2_label","WG","tablet",35312.39999917,37634.39999863,62500.19999957,302,282,537,135446.99999737,1121
"12",1,12,12,2.3121,2,"Tablet",15,9,13,1,"Option1_label","WG","tablet",35312.39999917,37634.39999863,62500.19999957,302,282,537,135446.99999737,1121
"13",2,13,1,4.3311,2,"Tablet",7,1,11,9,"Option2_label","WG","tablet",5751.6000005,23639.40000073,131360.39999616,51,214,1220,160751.39999739,1485
"14",2,14,2,4.7232,2,"Tablet",13,7,11,1,"Option1_label","WG","tablet",5751.6000005,23639.40000073,131360.39999616,51,214,1220,160751.39999739,1485
"15",2,15,3,5.0664,2,"Tablet",15,9,7,3,"Option1_label","WG","tablet",5751.6000005,23639.40000073,131360.39999616,51,214,1220,160751.39999739,1485
"16",2,16,4,3.8643,2,"Tablet",15,9,9,7,"Option2_label","WG","tablet",5751.6000005,23639.40000073,131360.39999616,51,214,1220,160751.39999739,1485
"17",2,17,5,4.58,2,"Tablet",7,3,11,7,"Option2_label","WG","tablet",5751.6000005,23639.40000073,131360.39999616,51,214,1220,160751.39999739,1485
"18",2,18,6,2.3823,2,"Tablet",11,3,11,3,"Option2_label","WG","tablet",5751.6000005,23639.40000073,131360.39999616,51,214,1220,160751.39999739,1485
"19",2,19,7,3.8038,2,"Tablet",7,3,9,7,"Option2_label","WG","tablet",5751.6000005,23639.40000073,131360.39999616,51,214,1220,160751.39999739,1485
"20",2,20,8,4.8163,2,"Tablet",13,5,7,1,"Option1_label","WG","tablet",5751.6000005,23639.40000073,131360.39999616,51,214,1220,160751.39999739,1485
"21",2,21,9,4.6467,2,"Tablet",15,5,7,1,"Option1_label","WG","tablet",5751.6000005,23639.40000073,131360.39999616,51,214,1220,160751.39999739,1485
"22",2,22,10,3.9856,2,"Tablet",5,3,13,5,"Option1_label","WG","tablet",5751.6000005,23639.40000073,131360.39999616,51,214,1220,160751.39999739,1485
"23",2,23,11,5.1968,2,"Tablet",13,9,9,7,"Option2_label","WG","tablet",5751.6000005,23639.40000073,131360.39999616,51,214,1220,160751.39999739,1485
"24",2,24,12,4.4338,2,"Tablet",15,9,13,1,"Option1_label","WG","tablet",5751.6000005,23639.40000073,131360.39999616,51,214,1220,160751.39999739,1485
"25",3,25,1,4.0771,2,"Tablet",7,1,11,9,"Option2_label","WG","tablet",7401.59999966,17451.59999955,83850.59999914,69,159,796,108703.79999835,1024
"26",3,26,2,2.0133,2,"Tablet",13,7,11,1,"Option1_label","WG","tablet",7401.59999966,17451.59999955,83850.59999914,69,159,796,108703.79999835,1024
"27",3,27,3,2.3999,2,"Tablet",15,9,7,3,"Option1_label","WG","tablet",7401.59999966,17451.59999955,83850.59999914,69,159,796,108703.79999835,1024
