"","pid","X","Trial","TrialDuration","Block","Device","RH_cost","RH_travel_time","RH_Comfort","metro_cost","metro_travel_time","metro_Comfort","Bus_cost","Bus_travel_time","Bus_Comfort","Choice","type","experiment","Comfort_FT_time","Cost_FT_time","Travel_FT_time","Other_FT_time","Comfort_FT_count","Cost_FT_count","Travel_FT_count","Other_FT_count","Tot_time","Tot_counts"
"1",1,10,10,7.4201,2,"Laptop",15,40,7,1,50,6,1,70,5,"Metro_label","WG","laptop",94129.20000253,35585.39998072,63488.39996397,129495.00005937,878,319,580,1202,322698.00000659,2979
"2",1,1,1,6.7769,2,"Laptop",15,20,8,3,70,4,3,60,4,"RH_label","WG","laptop",94129.20000253,35585.39998072,63488.39996397,129495.00005937,878,319,580,1202,322698.00000659,2979
"3",1,2,2,6.3052,2,"Laptop",20,20,7,3,70,6,3,60,3,"RH_label","WG","laptop",94129.20000253,35585.39998072,63488.39996397,129495.00005937,878,319,580,1202,322698.00000659,2979
"4",1,3,3,7.5997,2,"Laptop",15,40,9,1,60,4,1,70,5,"Metro_label","WG","laptop",94129.20000253,35585.39998072,63488.39996397,129495.00005937,878,319,580,1202,322698.00000659,2979
"5",1,4,4,10.3021,2,"Laptop",25,30,8,2,70,4,2,80,4,"RH_label","WG","laptop",94129.20000253,35585.39998072,63488.39996397,129495.00005937,878,319,580,1202,322698.00000659,2979
"6",1,5,5,11.7829,2,"Laptop",25,20,9,2,60,4,2,70,4,"RH_label","WG","laptop",94129.20000253,35585.39998072,63488.39996397,129495.00005937,878,319,580,1202,322698.00000659,2979
"7",1,6,6,6.8997,2,"Laptop",20,30,9,2,50,5,2,60,3,"Metro_label","WG","laptop",94129.20000253,35585.39998072,63488.39996397,129495.00005937,878,319,580,1202,322698.00000659,2979
"8",1,7,7,6.6327,2,"Laptop",25,40,8,3,60,6,3,70,3,"Metro_label","WG","laptop",94129.20000253,35585.39998072,63488.39996397,129495.00005937,878,319,580,1202,322698.00000659,2979
"9",1,8,8,11.5492,2,"Laptop",15,30,7,3,60,4,3,80,5,"RH_label","WG","laptop",94129.20000253,35585.39998072,63488.39996397,129495.00005937,878,319,580,1202,322698.00000659,2979
"10",1,9,9,8.9004,2,"Laptop",20,40,8,1,50,5,1,80,3,"RH_label","WG","laptop",94129.20000253,35585.39998072,63488.39996397,129495.00005937,878,319,580,1202,322698.00000659,2979
"11",1,12,12,13.4664,2,"Laptop",25,30,9,1,70,6,1,60,4,"Bus_label","WG","laptop",94129.20000253,35585.39998072,63488.39996397,129495.00005937,878,319,580,1202,322698.00000659,2979
"12",1,11,11,6.3832,2,"Laptop",25,20,7,2,70,5,2,80,5,"RH_label","WG","laptop",94129.20000253,35585.39998072,63488.39996397,129495.00005937,878,319,580,1202,322698.00000659,2979
"13",2,24,12,2.8439,4,"Laptop",15,30,9,3,70,5,3,70,5,"RH_label","WG","laptop",10340.99998884,7974.59998816,7714.79999855,128641.80006172,90,74,66,1157,154672.20003727,1387
"14",2,14,2,5.1312,4,"Laptop",20,40,8,2,70,4,2,70,5,"Metro_label","WG","laptop",10340.99998884,7974.59998816,7714.79999855,128641.80006172,90,74,66,1157,154672.20003727,1387
"15",2,23,11,4.1183,4,"Laptop",15,30,7,1,70,4,1,60,3,"RH_label","WG","laptop",10340.99998884,7974.59998816,7714.79999855,128641.80006172,90,74,66,1157,154672.20003727,1387
"16",2,13,1,6.6943,4,"Laptop",25,20,8,1,60,4,1,60,3,"Metro_label","WG","laptop",10340.99998884,7974.59998816,7714.79999855,128641.80006172,90,74,66,1157,154672.20003727,1387
"17",2,18,6,3.7128,4,"Laptop",25,20,9,3,50,4,3,80,3,"RH_label","WG","laptop",10340.99998884,7974.59998816,7714.79999855,128641.80006172,90,74,66,1157,154672.20003727,1387
"18",2,15,3,4.5687,4,"Laptop",20,30,8,2,60,5,2,60,5,"RH_label","WG","laptop",10340.99998884,7974.59998816,7714.79999855,128641.80006172,90,74,66,1157,154672.20003727,1387
"19",2,16,4,3.6987,4,"Laptop",25,40,7,2,70,6,2,80,5,"RH_label","WG","laptop",10340.99998884,7974.59998816,7714.79999855,128641.80006172,90,74,66,1157,154672.20003727,1387
"20",2,17,5,2.4669,4,"Laptop",20,40,7,3,60,6,3,60,4,"Metro_label","WG","laptop",10340.99998884,7974.59998816,7714.79999855,128641.80006172,90,74,66,1157,154672.20003727,1387
"21",2,22,10,4.618,4,"Laptop",20,30,9,3,50,6,3,70,4,"RH_label","WG","laptop",10340.99998884,7974.59998816,7714.79999855,128641.80006172,90,74,66,1157,154672.20003727,1387
"22",2,19,7,5.7627,4,"Laptop",15,20,9,2,50,6,2,80,4,"RH_label","WG","laptop",10340.99998884,7974.59998816,7714.79999855,128641.80006172,90,74,66,1157,154672.20003727,1387
"23",2,20,8,2.283,4,"Laptop",20,20,8,1,50,5,1,70,4,"RH_label","WG","laptop",10340.99998884,7974.59998816,7714.79999855,128641.80006172,90,74,66,1157,154672.20003727,1387
"24",2,21,9,3.4145,4,"Laptop",25,40,7,1,60,5,1,80,4,"RH_label","WG","laptop",10340.99998884,7974.59998816,7714.79999855,128641.80006172,90,74,66,1157,154672.20003727,1387
"25",3,25,1,5.8944,1,"Laptop",20,20,7,2,70,4,2,70,4,"Bus_label","WG","laptop",31542.00000059,20881.79996448,26378.40000757,150860.99998287,261,191,228,1377,229663.19995551,2057
"26",3,29,5,4.2546,1,"Laptop",25,30,9,2,60,5,2,60,5,"Metro_label","WG","laptop",31542.00000059,20881.79996448,26378.40000757,150860.99998287,261,191,228,1377,229663.19995551,2057
"27",3,26,2,5.566,1,"Laptop",20,40,7,3,50,5,3,60,4,"Metro_label","WG","laptop",31542.00000059,20881.79996448,26378.40000757,150860.99998287,261,191,228,1377,229663.19995551,2057
"28",3,27,3,5.6851,1,"Laptop",25,30,8,3,60,6,3,70,3,"Metro_label","WG","laptop",31542.00000059,20881.79996448,26378.40000757,150860.99998287,261,191,228,1377,229663.19995551,2057
"29",3,28,4,4.233,1,"Laptop",25,30,7,1,50,4,1,70,4,"Metro_label","WG","laptop",31542.00000059,20881.79996448,26378.40000757,150860.99998287,261,191,228,1377,229663.19995551,2057
"30",3,33,9,7.1329,1,"Laptop",20,20,9,1,60,6,1,80,5,"Metro_label","WG","laptop",31542.00000059,20881.79996448,26378.40000757,150860.99998287,261,191,228,1377,229663.19995551,2057
"31",3,30,6,5.1669,1,"Laptop",20,20,9,3,70,4,3,70,5,"Bus_label","WG","laptop",31542.00000059,20881.79996448,26378.40000757,150860.99998287,261,191,228,1377,229663.19995551,2057
"32",3,31,7,7.7939,1,"Laptop",15,20,9,1,70,5,1,80,3,"Metro_label","WG","laptop",31542.00000059,20881.79996448,26378.40000757,150860.99998287,261,191,228,1377,229663.19995551,2057
"33",3,32,8,4.838,1,"Laptop",15,40,8,3,70,5,3,80,4,"Metro_label","WG","laptop",31542.00000059,20881.79996448,26378.40000757,150860.99998287,261,191,228,1377,229663.19995551,2057
