"","pid","X","Trial","TrialDuration","Block","Device","cost1","qual1","cost2","qual2","Choice","type","experiment","Cost_FT_time","Qual_FT_time","Other_FT_time","Cost_FT_count","Qual_FT_count","Other_FT_count","Tot_time","Tot_counts"
"1",1,1,1,1.3705,2,"Laptop",7,1,11,9,"Option1_label","WL","laptop",14148,11251,33899,52,44,90,59298,186
"2",1,2,2,4.3647,2,"Laptop",13,7,11,1,"Option1_label","WL","laptop",14148,11251,33899,52,44,90,59298,186
"3",1,3,3,3.7815,2,"Laptop",15,9,7,3,"Option1_label","WL","laptop",14148,11251,33899,52,44,90,59298,186
"4",1,4,4,3.6349,2,"Laptop",15,9,9,7,"Option1_label","WL","laptop",14148,11251,33899,52,44,90,59298,186
"5",1,5,5,4.481,2,"Laptop",7,3,11,7,"Option2_label","WL","laptop",14148,11251,33899,52,44,90,59298,186
"6",1,6,6,3.0831,2,"Laptop",11,3,11,3,"Option1_label","WL","laptop",14148,11251,33899,52,44,90,59298,186
"7",1,7,7,2.7853,2,"Laptop",7,3,9,7,"Option2_label","WL","laptop",14148,11251,33899,52,44,90,59298,186
"8",1,8,8,5.0395,2,"Laptop",13,5,7,1,"Option1_label","WL","laptop",14148,11251,33899,52,44,90,59298,186
"9",1,9,9,4.5015,2,"Laptop",15,5,7,1,"Option1_label","WL","laptop",14148,11251,33899,52,44,90,59298,186
"10",1,10,10,2.6639,2,"Laptop",5,3,13,5,"Option2_label","WL","laptop",14148,11251,33899,52,44,90,59298,186
"11",1,11,11,5.5686,2,"Laptop",13,9,9,7,"Option1_label","WL","laptop",14148,11251,33899,52,44,90,59298,186
"12",1,12,12,3.5092,2,"Laptop",15,9,13,1,"Option1_label","WL","laptop",14148,11251,33899,52,44,90,59298,186
"13",2,13,1,7.1119,3,"Laptop",11,9,9,1,"Option1_label","WL","laptop",29194,17334,27565,127,86,101,74093,314
"14",2,14,2,5.8729,3,"Laptop",5,5,13,7,"Option1_label","WL","laptop",29194,17334,27565,127,86,101,74093,314
"15",2,15,3,5.1639,3,"Laptop",5,5,15,9,"Option1_label","WL","laptop",29194,17334,27565,127,86,101,74093,314
"16",2,16,4,5.8967,3,"Laptop",9,5,15,9,"Option1_label","WL","laptop",29194,17334,27565,127,86,101,74093,314
"17",2,17,5,7.7164,3,"Laptop",5,1,15,3,"Option1_label","WL","laptop",29194,17334,27565,127,86,101,74093,314
"18",2,18,6,4.6009,3,"Laptop",9,9,5,7,"Option2_label","WL","laptop",29194,17334,27565,127,86,101,74093,314
"19",2,19,7,6.8464,3,"Laptop",15,7,7,1,"Option1_label","WL","laptop",29194,17334,27565,127,86,101,74093,314
"20",2,20,8,4.7503,3,"Laptop",11,7,7,1,"Option1_label","WL","laptop",29194,17334,27565,127,86,101,74093,314
"21",2,21,9,7.7831,3,"Laptop",9,7,5,3,"Option2_label","WL","laptop",29194,17334,27565,127,86,101,74093,314
"22",2,22,10,5.0401,3,"Laptop",13,7,9,5,"Option2_label","WL","laptop",29194,17334,27565,127,86,101,74093,314
"23",2,23,11,4.5835,3,"Laptop",9,3,15,9,"Option2_label","WL","laptop",29194,17334,27565,127,86,101,74093,314
"24",2,24,12,5.9838,3,"Laptop",11,1,13,3,"Option1_label","WL","laptop",29194,17334,27565,127,86,101,74093,314
"25",3,25,1,3.9168,4,"Laptop",11,5,13,9,"Option2_label","WL","laptop",12775,14633,23934,55,54,94,51342,203
"26",3,26,2,4.1169,4,"Laptop",5,1,13,7,"Option1_label","WL","laptop",12775,14633,23934,55,54,94,51342,203
"27",3,27,3,4.0164,4,"Laptop",13,1,15,3,"Option2_label","WL","laptop",12775,14633,23934,55,54,94,51342,203
"28",3,28,4,4.383,4,"Laptop",7,9,5,5,"Option1_label","WL","laptop",12775,14633,23934,55,54,94,51342,203
"29",3,29,5,3.333,4,"Laptop",9,1,15,9,"Option2_label","WL","laptop",12775,14633,23934,55,54,94,51342,203
"30",3,30,6,2.8998,4,"Laptop",13,1,15,9,"Option2_label","WL","laptop",12775,14633,23934,55,54,94,51342,203
"31",3,31,7,3.0849,4,"Laptop",11,9,5,1,"Option1_label","WL","laptop",12775,14633,23934,55,54,94,51342,203
"32",3,32,8,4.3831,4,"Laptop",5,1,15,5,"Option2_label","WL","laptop",12775,14633,23934,55,54,94,51342,203
"33",3,33,9,2.9651,4,"Laptop",11,9,7,7,"Option1_label","WL","laptop",12775,14633,23934,55,54,94,51342,203
"34",3,34,10,2.7497,4,"Laptop",7,5,9,9,"Option2_label","WL","laptop",12775,14633,23934,55,54,94,51342,203
