"","pid","X","Trial","TrialDuration","Block","Device","RH_cost","RH_travel_time","RH_Comfort","metro_cost","metro_travel_time","metro_Comfort","Bus_cost","Bus_travel_time","Bus_Comfort","Choice","type","experiment","Comfort_FT_time","Cost_FT_time","Travel_FT_time","Other_FT_time","Comfort_FT_count","Cost_FT_count","Travel_FT_count","Other_FT_count","Tot_time","Tot_counts"
"1",1,1,1,10.4483,4,"Smartphone",25,20,8,1,60,4,1,60,3,"RH_label","WL","mobile",21798,19585,14791,32257,78,64,58,92,88431,292
"2",1,2,2,9.9511,4,"Smartphone",20,40,8,2,70,4,2,70,5,"RH_label","WL","mobile",21798,19585,14791,32257,78,64,58,92,88431,292
"3",1,3,3,4.6995,4,"Smartphone",20,30,8,2,60,5,2,60,5,"Metro_label","WL","mobile",21798,19585,14791,32257,78,64,58,92,88431,292
"4",1,4,4,5.119,4,"Smartphone",25,40,7,2,70,6,2,80,5,"Metro_label","WL","mobile",21798,19585,14791,32257,78,64,58,92,88431,292
"5",1,5,5,13.383,4,"Smartphone",20,40,7,3,60,6,3,60,4,"Metro_label","WL","mobile",21798,19585,14791,32257,78,64,58,92,88431,292
"6",1,6,6,4.8668,4,"Smartphone",25,20,9,3,50,4,3,80,3,"RH_label","WL","mobile",21798,19585,14791,32257,78,64,58,92,88431,292
"7",1,7,7,5.3163,4,"Smartphone",15,20,9,2,50,6,2,80,4,"RH_label","WL","mobile",21798,19585,14791,32257,78,64,58,92,88431,292
"8",1,8,8,7.9331,4,"Smartphone",20,20,8,1,50,5,1,70,4,"Metro_label","WL","mobile",21798,19585,14791,32257,78,64,58,92,88431,292
"9",1,9,9,7.9497,4,"Smartphone",25,40,7,1,60,5,1,80,4,"Metro_label","WL","mobile",21798,19585,14791,32257,78,64,58,92,88431,292
"10",1,10,10,11.9862,4,"Smartphone",20,30,9,3,50,6,3,70,4,"RH_label","WL","mobile",21798,19585,14791,32257,78,64,58,92,88431,292
"11",1,11,11,10.948,4,"Smartphone",15,30,7,1,70,4,1,60,3,"RH_label","WL","mobile",21798,19585,14791,32257,78,64,58,92,88431,292
"12",1,12,12,7.7362,4,"Smartphone",15,30,9,3,70,5,3,70,5,"RH_label","WL","mobile",21798,19585,14791,32257,78,64,58,92,88431,292
