"","pid","X","Trial","TrialDuration","Block","Device","cost1","qual1","cost2","qual2","Choice","type","experiment","Cost_FT_time","Qual_FT_time","Other_FT_time","Cost_FT_count","Qual_FT_count","Other_FT_count","Tot_time","Tot_counts"
"1",1,1,1,5.3719,1,"Smartphone",7,7,15,9,"Option2_label","WG","mobile",21893.40000014,31725.60000058,64591.79999658,188,264,551,118210.7999973,1003
"2",1,2,2,3.6757,1,"Smartphone",9,1,11,5,"Option2_label","WG","mobile",21893.40000014,31725.60000058,64591.79999658,188,264,551,118210.7999973,1003
"3",1,3,3,3.8338,1,"Smartphone",5,1,7,3,"Option2_label","WG","mobile",21893.40000014,31725.60000058,64591.79999658,188,264,551,118210.7999973,1003
"4",1,4,4,2.0475,1,"Smartphone",9,5,5,3,"Option1_label","WG","mobile",21893.40000014,31725.60000058,64591.79999658,188,264,551,118210.7999973,1003
"5",1,5,5,1.8611,1,"Smartphone",5,3,13,9,"Option2_label","WG","mobile",21893.40000014,31725.60000058,64591.79999658,188,264,551,118210.7999973,1003
"6",1,6,6,4.3985,1,"Smartphone",9,3,11,5,"Option2_label","WG","mobile",21893.40000014,31725.60000058,64591.79999658,188,264,551,118210.7999973,1003
"7",1,7,7,2.1522,1,"Smartphone",7,3,11,9,"Option2_label","WG","mobile",21893.40000014,31725.60000058,64591.79999658,188,264,551,118210.7999973,1003
"8",1,8,8,2.0318,1,"Smartphone",13,9,11,1,"Option1_label","WG","mobile",21893.40000014,31725.60000058,64591.79999658,188,264,551,118210.7999973,1003
"9",1,9,9,2.9162,1,"Smartphone",7,1,15,5,"Option2_label","WG","mobile",21893.40000014,31725.60000058,64591.79999658,188,264,551,118210.7999973,1003
"10",1,10,10,4.4927,1,"Smartphone",15,7,9,5,"Option1_label","WG","mobile",21893.40000014,31725.60000058,64591.79999658,188,264,551,118210.7999973,1003
"11",1,11,11,1.8518,1,"Smartphone",15,9,5,5,"Option1_label","WG","mobile",21893.40000014,31725.60000058,64591.79999658,188,264,551,118210.7999973,1003
"12",1,12,12,1.6164,1,"Smartphone",11,1,13,9,"Option2_label","WG","mobile",21893.40000014,31725.60000058,64591.79999658,188,264,551,118210.7999973,1003
"13",2,13,1,6.4488,2,"Smartphone",7,1,11,9,"Option2_label","WG","mobile",32114.39999693,28364.39999932,131406.599993,310,282,1276,191885.39998925,1868
"14",2,14,2,5.183,2,"Smartphone",13,7,11,1,"Option1_label","WG","mobile",32114.39999693,28364.39999932,131406.599993,310,282,1276,191885.39998925,1868
"15",2,15,3,8.4663,2,"Smartphone",15,9,7,3,"Option1_label","WG","mobile",32114.39999693,28364.39999932,131406.599993,310,282,1276,191885.39998925,1868
"16",2,16,4,4.7365,2,"Smartphone",15,9,9,7,"Option2_label","WG","mobile",32114.39999693,28364.39999932,131406.599993,310,282,1276,191885.39998925,1868
"17",2,17,5,5.6331,2,"Smartphone",7,3,11,7,"Option2_label","WG","mobile",32114.39999693,28364.39999932,131406.599993,310,282,1276,191885.39998925,1868
"18",2,18,6,4.3998,2,"Smartphone",11,3,11,3,"Option2_label","WG","mobile",32114.39999693,28364.39999932,131406.599993,310,282,1276,191885.39998925,1868
"19",2,19,7,4.2484,2,"Smartphone",7,3,9,7,"Option2_label","WG","mobile",32114.39999693,28364.39999932,131406.599993,310,282,1276,191885.39998925,1868
"20",2,20,8,7.7322,2,"Smartphone",13,5,7,1,"Option1_label","WG","mobile",32114.39999693,28364.39999932,131406.599993,310,282,1276,191885.39998925,1868
"21",2,21,9,5.1162,2,"Smartphone",15,5,7,1,"Option1_label","WG","mobile",32114.39999693,28364.39999932,131406.599993,310,282,1276,191885.39998925,1868
"22",2,22,10,3.5999,2,"Smartphone",5,3,13,5,"Option1_label","WG","mobile",32114.39999693,28364.39999932,131406.599993,310,282,1276,191885.39998925,1868
"23",2,23,11,4.9164,2,"Smartphone",13,9,9,7,"Option2_label","WG","mobile",32114.39999693,28364.39999932,131406.599993,310,282,1276,191885.39998925,1868
"24",2,24,12,4.4162,2,"Smartphone",15,9,13,1,"Option1_label","WG","mobile",32114.39999693,28364.39999932,131406.599993,310,282,1276,191885.39998925,1868
"25",3,25,1,3.257,3,"Smartphone",11,9,9,1,"Option1_label","WG","mobile",15674.4000003,14141.39999989,66427.19999783,142,134,621,96242.99999802,897
"26",3,26,2,2.233,3,"Smartphone",5,5,13,7,"Option1_label","WG","mobile",15674.4000003,14141.39999989,66427.19999783,142,134,621,96242.99999802,897
"27",3,27,3,2.4499,3,"Smartphone",5,5,15,9,"Option2_label","WG","mobile",15674.4000003,14141.39999989,66427.19999783,142,134,621,96242.99999802,897
"28",3,28,4,2.5158,3,"Smartphone",9,5,15,9,"Option2_label","WG","mobile",15674.4000003,14141.39999989,66427.19999783,142,134,621,96242.99999802,897
"29",3,29,5,2.9325,3,"Smartphone",5,1,15,3,"Option1_label","WG","mobile",15674.4000003,14141.39999989,66427.19999783,142,134,621,96242.99999802,897
"30",3,30,6,2.0689,3,"Smartphone",9,9,5,7,"Option1_label","WG","mobile",15674.4000003,14141.39999989,66427.19999783,142,134,621,96242.99999802,897
"31",3,31,7,3.048,3,"Smartphone",15,7,7,1,"Option1_label","WG","mobile",15674.4000003,14141.39999989,66427.19999783,142,134,621,96242.99999802,897
"32",3,32,8,2.2664,3,"Smartphone",11,7,7,1,"Option1_label","WG","mobile",15674.4000003,14141.39999989,66427.19999783,142,134,621,96242.99999802,897
"33",3,33,9,2.4504,3,"Smartphone",9,7,5,3,"Option1_label","WG","mobile",15674.4000003,14141.39999989,66427.19999783,142,134,621,96242.99999802,897
"34",3,34,10,3.2022,3,"Smartphone",13,7,9,5,"Option2_label","WG","mobile",15674.4000003,14141.39999989,66427.19999783,142,134,621,96242.99999802,897
"35",3,35,11,1.9162,3,"Smartphone",9,3,15,9,"Option2_label","WG","mobile",15674.4000003,14141.39999989,66427.19999783,142,134,621,96242.99999802,897
"36",3,36,12,2.5024,3,"Smartphone",11,1,13,3,"Option1_label","WG","mobile",15674.4000003,14141.39999989,66427.19999783,142,134,621,96242.99999802,897
"37",4,37,1,3.695,4,"Smartphone",11,5,13,9,"Option2_label","WG","mobile",21091.80000021,20609.40000023,52584.59999962,197,193,513,94285.80000006,903
"38",4,38,2,3.0856,4,"Smartphone",5,1,13,7,"Option2_label","WG","mobile",21091.80000021,20609.40000023,52584.59999962,197,193,513,94285.80000006,903
"39",4,39,3,3.7187,4,"Smartphone",13,1,15,3,"Option2_label","WG","mobile",21091.80000021,20609.40000023,52584.59999962,197,193,513,94285.80000006,903
"40",4,40,4,2.4625,4,"Smartphone",7,9,5,5,"Option1_label","WG","mobile",21091.80000021,20609.40000023,52584.59999962,197,193,513,94285.80000006,903
"41",4,41,5,2.2531,4,"Smartphone",9,1,15,9,"Option2_label","WG","mobile",21091.80000021,20609.40000023,52584.59999962,197,193,513,94285.80000006,903
"42",4,42,6,2.3014,4,"Smartphone",13,1,15,9,"Option2_label","WG","mobile",21091.80000021,20609.40000023,52584.59999962,197,193,513,94285.80000006,903
"43",4,43,7,2.7163,4,"Smartphone",11,9,5,1,"Option1_label","WG","mobile",21091.80000021,20609.40000023,52584.59999962,197,193,513,94285.80000006,903
"44",4,44,8,2.4176,4,"Smartphone",5,1,15,5,"Option2_label","WG","mobile",21091.80000021,20609.40000023,52584.59999962,197,193,513,94285.80000006,903
"45",4,45,9,2.9003,4,"Smartphone",11,9,7,7,"Option1_label","WG","mobile",21091.80000021,20609.40000023,52584.59999962,197,193,513,94285.80000006,903
"46",4,46,10,2.4644,4,"Smartphone",7,5,9,9,"Option2_label","WG","mobile",21091.80000021,20609.40000023,52584.59999962,197,193,513,94285.80000006,903
"47",4,47,11,2.0877,4,"Smartphone",15,3,5,1,"Option1_label","WG","mobile",21091.80000021,20609.40000023,52584.59999962,197,193,513,94285.80000006,903
"48",4,48,12,2.0664,4,"Smartphone",13,5,5,1,"Option1_label","WG","mobile",21091.80000021,20609.40000023,52584.59999962,197,193,513,94285.80000006,903
"49",5,49,1,5.9622,2,"Smartphone",7,1,11,9,"Option2_label","WG","mobile",16643.99999962,22519.79999834,122257.20000329,154,213,1157,161421.00000125,1524
"50",5,50,2,3.2329,2,"Smartphone",13,7,11,1,"Option1_label","WG","mobile",16643.99999962,22519.79999834,122257.20000329,154,213,1157,161421.00000125,1524
"51",5,51,3,3.0664,2,"Smartphone",15,9,7,3,"Option1_label","WG","mobile",16643.99999962,22519.79999834,122257.20000329,154,213,1157,161421.00000125,1524
"52",5,52,4,3.3499,2,"Smartphone",15,9,9,7,"Option2_label","WG","mobile",16643.99999962,22519.79999834,122257.20000329,154,213,1157,161421.00000125,1524
"53",5,53,5,3.7998,2,"Smartphone",7,3,11,7,"Option2_label","WG","mobile",16643.99999962,22519.79999834,122257.20000329,154,213,1157,161421.00000125,1524
"54",5,54,6,5.3634,2,"Smartphone",11,3,11,3,"Option1_label","WG","mobile",16643.99999962,22519.79999834,122257.20000329,154,213,1157,161421.00000125,1524
"55",5,55,7,4.1832,2,"Smartphone",7,3,9,7,"Option2_label","WG","mobile",16643.99999962,22519.79999834,122257.20000329,154,213,1157,161421.00000125,1524
"56",5,56,8,6.9654,2,"Smartphone",13,5,7,1,"Option2_label","WG","mobile",16643.99999962,22519.79999834,122257.20000329,154,213,1157,161421.00000125,1524
"57",5,57,9,5.1776,2,"Smartphone",15,5,7,1,"Option1_label","WG","mobile",16643.99999962,22519.79999834,122257.20000329,154,213,1157,161421.00000125,1524
"58",5,58,10,4.183,2,"Smartphone",5,3,13,5,"Option1_label","WG","mobile",16643.99999962,22519.79999834,122257.20000329,154,213,1157,161421.00000125,1524
"59",5,59,11,3.7809,2,"Smartphone",13,9,9,7,"Option1_label","WG","mobile",16643.99999962,22519.79999834,122257.20000329,154,213,1157,161421.00000125,1524
"60",5,60,12,3.1821,2,"Smartphone",15,9,13,1,"Option1_label","WG","mobile",16643.99999962,22519.79999834,122257.20000329,154,213,1157,161421.00000125,1524
"61",6,61,1,5.5271,3,"Smartphone",11,9,9,1,"Option1_label","WG","mobile",25291.19999484,28748.39999805,190450.79999728,201,261,1725,244490.39999017,2187
"62",6,62,2,7.3495,3,"Smartphone",5,5,13,7,"Option1_label","WG","mobile",25291.19999484,28748.39999805,190450.79999728,201,261,1725,244490.39999017,2187
"63",6,63,3,13.8342,3,"Smartphone",5,5,15,9,"Option1_label","WG","mobile",25291.19999484,28748.39999805,190450.79999728,201,261,1725,244490.39999017,2187
"64",6,64,4,6.1499,3,"Smartphone",9,5,15,9,"Option1_label","WG","mobile",25291.19999484,28748.39999805,190450.79999728,201,261,1725,244490.39999017,2187
"65",6,65,5,9.816,3,"Smartphone",5,1,15,3,"Option1_label","WG","mobile",25291.19999484,28748.39999805,190450.79999728,201,261,1725,244490.39999017,2187
"66",6,66,6,5.1498,3,"Smartphone",9,9,5,7,"Option2_label","WG","mobile",25291.19999484,28748.39999805,190450.79999728,201,261,1725,244490.39999017,2187
"67",6,67,7,5.5663,3,"Smartphone",15,7,7,1,"Option1_label","WG","mobile",25291.19999484,28748.39999805,190450.79999728,201,261,1725,244490.39999017,2187
"68",6,68,8,3.6644,3,"Smartphone",11,7,7,1,"Option1_label","WG","mobile",25291.19999484,28748.39999805,190450.79999728,201,261,1725,244490.39999017,2187
"69",6,69,9,5.7537,3,"Smartphone",9,7,5,3,"Option1_label","WG","mobile",25291.19999484,28748.39999805,190450.79999728,201,261,1725,244490.39999017,2187
"70",6,70,10,5.1998,3,"Smartphone",13,7,9,5,"Option1_label","WG","mobile",25291.19999484,28748.39999805,190450.79999728,201,261,1725,244490.39999017,2187
"71",6,71,11,5.0981,3,"Smartphone",9,3,15,9,"Option2_label","WG","mobile",25291.19999484,28748.39999805,190450.79999728,201,261,1725,244490.39999017,2187
"72",6,72,12,2.3997,3,"Smartphone",11,1,13,3,"Option2_label","WG","mobile",25291.19999484,28748.39999805,190450.79999728,201,261,1725,244490.39999017,2187
"73",7,73,1,5.9349,3,"Smartphone",11,9,9,1,"Option1_label","WG","mobile",55879.2000033,52157.4000001,237506.40000226,525,489,2242,345543.00000566,3256
