"","pid","X","Trial","TrialDuration","Block","Device","cost1","qual1","cost2","qual2","Choice","type","experiment","Cost_FT_time","Qual_FT_time","Other_FT_time","Cost_FT_count","Qual_FT_count","Other_FT_count","Tot_time","Tot_counts"
"1",1,1,1,5.3719,1,"Smartphone",7,7,15,9,"Option2_label","WL","mobile",15260,19520,14966,47,48,42,49746,137
"2",1,4,4,2.0475,1,"Smartphone",9,5,5,3,"Option1_label","WL","mobile",15260,19520,14966,47,48,42,49746,137
"3",1,5,5,1.8611,1,"Smartphone",5,3,13,9,"Option2_label","WL","mobile",15260,19520,14966,47,48,42,49746,137
"4",1,2,2,3.6757,1,"Smartphone",9,1,11,5,"Option2_label","WL","mobile",15260,19520,14966,47,48,42,49746,137
"5",1,3,3,3.8338,1,"Smartphone",5,1,7,3,"Option2_label","WL","mobile",15260,19520,14966,47,48,42,49746,137
"6",1,8,8,2.0318,1,"Smartphone",13,9,11,1,"Option1_label","WL","mobile",15260,19520,14966,47,48,42,49746,137
"7",1,9,9,2.9162,1,"Smartphone",7,1,15,5,"Option2_label","WL","mobile",15260,19520,14966,47,48,42,49746,137
"8",1,6,6,4.3985,1,"Smartphone",9,3,11,5,"Option2_label","WL","mobile",15260,19520,14966,47,48,42,49746,137
"9",1,7,7,2.1522,1,"Smartphone",7,3,11,9,"Option2_label","WL","mobile",15260,19520,14966,47,48,42,49746,137
"10",1,12,12,1.6164,1,"Smartphone",11,1,13,9,"Option2_label","WL","mobile",15260,19520,14966,47,48,42,49746,137
"11",1,10,10,4.4927,1,"Smartphone",15,7,9,5,"Option1_label","WL","mobile",15260,19520,14966,47,48,42,49746,137
"12",1,11,11,1.8518,1,"Smartphone",15,9,5,5,"Option1_label","WL","mobile",15260,19520,14966,47,48,42,49746,137
"13",2,15,3,8.4663,2,"Smartphone",15,9,7,3,"Option1_label","WL","mobile",23881,23562,25771,76,89,77,73214,242
"14",2,14,2,5.183,2,"Smartphone",13,7,11,1,"Option1_label","WL","mobile",23881,23562,25771,76,89,77,73214,242
"15",2,13,1,6.4488,2,"Smartphone",7,1,11,9,"Option2_label","WL","mobile",23881,23562,25771,76,89,77,73214,242
"16",2,19,7,4.2484,2,"Smartphone",7,3,9,7,"Option2_label","WL","mobile",23881,23562,25771,76,89,77,73214,242
"17",2,16,4,4.7365,2,"Smartphone",15,9,9,7,"Option2_label","WL","mobile",23881,23562,25771,76,89,77,73214,242
"18",2,17,5,5.6331,2,"Smartphone",7,3,11,7,"Option2_label","WL","mobile",23881,23562,25771,76,89,77,73214,242
"19",2,18,6,4.3998,2,"Smartphone",11,3,11,3,"Option2_label","WL","mobile",23881,23562,25771,76,89,77,73214,242
"20",2,23,11,4.9164,2,"Smartphone",13,9,9,7,"Option2_label","WL","mobile",23881,23562,25771,76,89,77,73214,242
"21",2,20,8,7.7322,2,"Smartphone",13,5,7,1,"Option1_label","WL","mobile",23881,23562,25771,76,89,77,73214,242
"22",2,21,9,5.1162,2,"Smartphone",15,5,7,1,"Option1_label","WL","mobile",23881,23562,25771,76,89,77,73214,242
"23",2,22,10,3.5999,2,"Smartphone",5,3,13,5,"Option1_label","WL","mobile",23881,23562,25771,76,89,77,73214,242
"24",2,24,12,4.4162,2,"Smartphone",15,9,13,1,"Option1_label","WL","mobile",23881,23562,25771,76,89,77,73214,242
"25",3,28,4,2.5158,3,"Smartphone",9,5,15,9,"Option2_label","WL","mobile",23158,20682,33949,73,65,105,77789,243
"26",3,25,1,3.257,3,"Smartphone",11,9,9,1,"Option1_label","WL","mobile",23158,20682,33949,73,65,105,77789,243
"27",3,26,2,2.233,3,"Smartphone",5,5,13,7,"Option1_label","WL","mobile",23158,20682,33949,73,65,105,77789,243
"28",3,27,3,2.4499,3,"Smartphone",5,5,15,9,"Option2_label","WL","mobile",23158,20682,33949,73,65,105,77789,243
"29",3,32,8,2.2664,3,"Smartphone",11,7,7,1,"Option1_label","WL","mobile",23158,20682,33949,73,65,105,77789,243
"30",3,29,5,2.9325,3,"Smartphone",5,1,15,3,"Option1_label","WL","mobile",23158,20682,33949,73,65,105,77789,243
"31",3,30,6,2.0689,3,"Smartphone",9,9,5,7,"Option1_label","WL","mobile",23158,20682,33949,73,65,105,77789,243
"32",3,31,7,3.048,3,"Smartphone",15,7,7,1,"Option1_label","WL","mobile",23158,20682,33949,73,65,105,77789,243
