"","pid","X","Trial","TrialDuration","Block","Device","RH_cost","RH_travel_time","RH_Comfort","metro_cost","metro_travel_time","metro_Comfort","Bus_cost","Bus_travel_time","Bus_Comfort","Choice","type","experiment","Comfort_FT_time","Cost_FT_time","Travel_FT_time","Other_FT_time","Comfort_FT_count","Cost_FT_count","Travel_FT_count","Other_FT_count","Tot_time","Tot_counts"
"1",1,1,1,7.7296,4,"Monitor",25,20,8,1,60,4,1,60,3,"Metro_label","WG","monitor",74593.20004198,59163.00002666,84914.99996455,107113.19999622,650,518,753,943,325784.40002941,2864
"2",1,2,2,5.5529,4,"Monitor",20,40,8,2,70,4,2,70,5,"Metro_label","WG","monitor",74593.20004198,59163.00002666,84914.99996455,107113.19999622,650,518,753,943,325784.40002941,2864
"3",1,3,3,10.6531,4,"Monitor",20,30,8,2,60,5,2,60,5,"Metro_label","WG","monitor",74593.20004198,59163.00002666,84914.99996455,107113.19999622,650,518,753,943,325784.40002941,2864
"4",1,4,4,9.1327,4,"Monitor",25,40,7,2,70,6,2,80,5,"Metro_label","WG","monitor",74593.20004198,59163.00002666,84914.99996455,107113.19999622,650,518,753,943,325784.40002941,2864
"5",1,5,5,10.6038,4,"Monitor",20,40,7,3,60,6,3,60,4,"Metro_label","WG","monitor",74593.20004198,59163.00002666,84914.99996455,107113.19999622,650,518,753,943,325784.40002941,2864
"6",1,6,6,7.887,4,"Monitor",25,20,9,3,50,4,3,80,3,"RH_label","WG","monitor",74593.20004198,59163.00002666,84914.99996455,107113.19999622,650,518,753,943,325784.40002941,2864
"7",1,7,7,9.7316,4,"Monitor",15,20,9,2,50,6,2,80,4,"RH_label","WG","monitor",74593.20004198,59163.00002666,84914.99996455,107113.19999622,650,518,753,943,325784.40002941,2864
"8",1,8,8,5.5328,4,"Monitor",20,20,8,1,50,5,1,70,4,"RH_label","WG","monitor",74593.20004198,59163.00002666,84914.99996455,107113.19999622,650,518,753,943,325784.40002941,2864
"9",1,9,9,8.5856,4,"Monitor",25,40,7,1,60,5,1,80,4,"Metro_label","WG","monitor",74593.20004198,59163.00002666,84914.99996455,107113.19999622,650,518,753,943,325784.40002941,2864
"10",1,10,10,10.8964,4,"Monitor",20,30,9,3,50,6,3,70,4,"RH_label","WG","monitor",74593.20004198,59163.00002666,84914.99996455,107113.19999622,650,518,753,943,325784.40002941,2864
