"","pid","X","Trial","TrialDuration","Block","Device","RH_cost","RH_travel_time","RH_Comfort","metro_cost","metro_travel_time","metro_Comfort","Bus_cost","Bus_travel_time","Bus_Comfort","Choice","type","experiment","Comfort_FT_time","Cost_FT_time","Travel_FT_time","Other_FT_time","Comfort_FT_count","Cost_FT_count","Travel_FT_count","Other_FT_count","Tot_time","Tot_counts"
"1",1,4,4,9.1327,4,"Monitor",25,40,7,2,70,6,2,80,5,"Metro_label","WL","monitor",20048,19408,20906,38551,104,86,104,161,98913,455
"2",1,1,1,7.7296,4,"Monitor",25,20,8,1,60,4,1,60,3,"Metro_label","WL","monitor",20048,19408,20906,38551,104,86,104,161,98913,455
"3",1,2,2,5.5529,4,"Monitor",20,40,8,2,70,4,2,70,5,"Metro_label","WL","monitor",20048,19408,20906,38551,104,86,104,161,98913,455
"4",1,3,3,10.6531,4,"Monitor",20,30,8,2,60,5,2,60,5,"Metro_label","WL","monitor",20048,19408,20906,38551,104,86,104,161,98913,455
"5",1,7,7,9.7316,4,"Monitor",15,20,9,2,50,6,2,80,4,"RH_label","WL","monitor",20048,19408,20906,38551,104,86,104,161,98913,455
"6",1,8,8,5.5328,4,"Monitor",20,20,8,1,50,5,1,70,4,"RH_label","WL","monitor",20048,19408,20906,38551,104,86,104,161,98913,455
"7",1,5,5,10.6038,4,"Monitor",20,40,7,3,60,6,3,60,4,"Metro_label","WL","monitor",20048,19408,20906,38551,104,86,104,161,98913,455
"8",1,6,6,7.887,4,"Monitor",25,20,9,3,50,4,3,80,3,"RH_label","WL","monitor",20048,19408,20906,38551,104,86,104,161,98913,455
"9",1,11,11,7.5799,4,"Monitor",15,30,7,1,70,4,1,60,3,"RH_label","WL","monitor",20048,19408,20906,38551,104,86,104,161,98913,455
"10",1,12,12,7.433,4,"Monitor",15,30,9,3,70,5,3,70,5,"RH_label","WL","monitor",20048,19408,20906,38551,104,86,104,161,98913,455
"11",1,9,9,8.5856,4,"Monitor",25,40,7,1,60,5,1,80,4,"Metro_label","WL","monitor",20048,19408,20906,38551,104,86,104,161,98913,455
"12",1,10,10,10.8964,4,"Monitor",20,30,9,3,50,6,3,70,4,"RH_label","WL","monitor",20048,19408,20906,38551,104,86,104,161,98913,455
"13",2,17,5,5.4997,4,"Monitor",20,40,7,3,60,6,3,60,4,"Metro_label","WL","monitor",9343,13532,18670,18943,47,64,85,64,60488,260
"14",2,18,6,3.6331,4,"Monitor",25,20,9,3,50,4,3,80,3,"RH_label","WL","monitor",9343,13532,18670,18943,47,64,85,64,60488,260
"15",2,13,1,7.9272,4,"Monitor",25,20,8,1,60,4,1,60,3,"Metro_label","WL","monitor",9343,13532,18670,18943,47,64,85,64,60488,260
"16",2,14,2,7.1994,4,"Monitor",20,40,8,2,70,4,2,70,5,"RH_label","WL","monitor",9343,13532,18670,18943,47,64,85,64,60488,260
"17",2,15,3,4.0812,4,"Monitor",20,30,8,2,60,5,2,60,5,"RH_label","WL","monitor",9343,13532,18670,18943,47,64,85,64,60488,260
"18",2,16,4,4.7473,4,"Monitor",25,40,7,2,70,6,2,80,5,"RH_label","WL","monitor",9343,13532,18670,18943,47,64,85,64,60488,260
"19",2,22,10,3.7164,4,"Monitor",20,30,9,3,50,6,3,70,4,"RH_label","WL","monitor",9343,13532,18670,18943,47,64,85,64,60488,260
"20",2,19,7,3.6831,4,"Monitor",15,20,9,2,50,6,2,80,4,"RH_label","WL","monitor",9343,13532,18670,18943,47,64,85,64,60488,260
"21",2,20,8,4.0108,4,"Monitor",20,20,8,1,50,5,1,70,4,"RH_label","WL","monitor",9343,13532,18670,18943,47,64,85,64,60488,260
"22",2,21,9,4.4316,4,"Monitor",25,40,7,1,60,5,1,80,4,"Metro_label","WL","monitor",9343,13532,18670,18943,47,64,85,64,60488,260
"23",2,23,11,3.6324,4,"Monitor",15,30,7,1,70,4,1,60,3,"RH_label","WL","monitor",9343,13532,18670,18943,47,64,85,64,60488,260
"24",2,24,12,3.0113,4,"Monitor",15,30,9,3,70,5,3,70,5,"RH_label","WL","monitor",9343,13532,18670,18943,47,64,85,64,60488,260
"25",3,31,7,5.4831,4,"Monitor",15,20,9,2,50,6,2,80,4,"Metro_label","WL","monitor",11335,10611,14140,28343,59,58,59,145,64429,321
"26",3,25,1,7.925,4,"Monitor",25,20,8,1,60,4,1,60,3,"Metro_label","WL","monitor",11335,10611,14140,28343,59,58,59,145,64429,321
"27",3,26,2,6.0328,4,"Monitor",20,40,8,2,70,4,2,70,5,"Bus_label","WL","monitor",11335,10611,14140,28343,59,58,59,145,64429,321
"28",3,27,3,6.0995,4,"Monitor",20,30,8,2,60,5,2,60,5,"Bus_label","WL","monitor",11335,10611,14140,28343,59,58,59,145,64429,321
"29",3,28,4,4.9165,4,"Monitor",25,40,7,2,70,6,2,80,5,"Metro_label","WL","monitor",11335,10611,14140,28343,59,58,59,145,64429,321
"30",3,29,5,4.2993,4,"Monitor",20,40,7,3,60,6,3,60,4,"Metro_label","WL","monitor",11335,10611,14140,28343,59,58,59,145,64429,321
"31",3,30,6,5.163,4,"Monitor",25,20,9,3,50,4,3,80,3,"Metro_label","WL","monitor",11335,10611,14140,28343,59,58,59,145,64429,321
"32",3,35,11,7.0652,4,"Monitor",15,30,7,1,70,4,1,60,3,"Bus_label","WL","monitor",11335,10611,14140,28343,59,58,59,145,64429,321
"33",3,32,8,4.9323,4,"Monitor",20,20,8,1,50,5,1,70,4,"Metro_label","WL","monitor",11335,10611,14140,28343,59,58,59,145,64429,321
"34",3,33,9,4.6498,4,"Monitor",25,40,7,1,60,5,1,80,4,"Metro_label","WL","monitor",11335,10611,14140,28343,59,58,59,145,64429,321
"35",3,34,10,4.251,4,"Monitor",20,30,9,3,50,6,3,70,4,"Metro_label","WL","monitor",11335,10611,14140,28343,59,58,59,145,64429,321
"36",3,36,12,4.4645,4,"Monitor",15,30,9,3,70,5,3,70,5,"Bus_label","WL","monitor",11335,10611,14140,28343,59,58,59,145,64429,321
"37",4,44,8,3.2165,2,"Monitor",15,30,7,3,60,4,3,80,5,"Metro_label","WL","monitor",12382,10685,9965,15314,49,43,38,67,48346,197
"38",4,37,1,3.2986,2,"Monitor",15,20,8,3,70,4,3,60,4,"Bus_label","WL","monitor",12382,10685,9965,15314,49,43,38,67,48346,197
"39",4,38,2,3.9349,2,"Monitor",20,20,7,3,70,6,3,60,3,"Bus_label","WL","monitor",12382,10685,9965,15314,49,43,38,67,48346,197
"40",4,39,3,2.6455,2,"Monitor",15,40,9,1,60,4,1,70,5,"Metro_label","WL","monitor",12382,10685,9965,15314,49,43,38,67,48346,197
"41",4,40,4,3.6496,2,"Monitor",25,30,8,2,70,4,2,80,4,"Metro_label","WL","monitor",12382,10685,9965,15314,49,43,38,67,48346,197
"42",4,41,5,3.6662,2,"Monitor",25,20,9,2,60,4,2,70,4,"Metro_label","WL","monitor",12382,10685,9965,15314,49,43,38,67,48346,197
"43",4,42,6,4.4543,2,"Monitor",20,30,9,2,50,5,2,60,3,"Metro_label","WL","monitor",12382,10685,9965,15314,49,43,38,67,48346,197
"44",4,43,7,3.7528,2,"Monitor",25,40,8,3,60,6,3,70,3,"Metro_label","WL","monitor",12382,10685,9965,15314,49,43,38,67,48346,197
"45",4,47,11,2.3022,2,"Monitor",25,20,7,2,70,5,2,80,5,"Metro_label","WL","monitor",12382,10685,9965,15314,49,43,38,67,48346,197
"46",4,48,12,3.013,2,"Monitor",25,30,9,1,70,6,1,60,4,"Bus_label","WL","monitor",12382,10685,9965,15314,49,43,38,67,48346,197
"47",4,45,9,4.454,2,"Monitor",20,40,8,1,50,5,1,80,3,"Metro_label","WL","monitor",12382,10685,9965,15314,49,43,38,67,48346,197
"48",4,46,10,2.5365,2,"Monitor",15,40,7,1,50,6,1,70,5,"Metro_label","WL","monitor",12382,10685,9965,15314,49,43,38,67,48346,197
"49",5,57,9,7.9824,4,"Monitor",25,40,7,1,60,5,1,80,4,"Metro_label","WL","monitor",5729,18121,17409,9259,32,93,87,48,50518,260
"50",5,58,10,3.9831,4,"Monitor",20,30,9,3,50,6,3,70,4,"Metro_label","WL","monitor",5729,18121,17409,9259,32,93,87,48,50518,260
"51",5,49,1,5.927,4,"Monitor",25,20,8,1,60,4,1,60,3,"Metro_label","WL","monitor",5729,18121,17409,9259,32,93,87,48,50518,260
"52",5,50,2,4.2035,4,"Monitor",20,40,8,2,70,4,2,70,5,"Metro_label","WL","monitor",5729,18121,17409,9259,32,93,87,48,50518,260
"53",5,51,3,3.5997,4,"Monitor",20,30,8,2,60,5,2,60,5,"Metro_label","WL","monitor",5729,18121,17409,9259,32,93,87,48,50518,260
"54",5,52,4,3.3664,4,"Monitor",25,40,7,2,70,6,2,80,5,"Metro_label","WL","monitor",5729,18121,17409,9259,32,93,87,48,50518,260
"55",5,53,5,2.685,4,"Monitor",20,40,7,3,60,6,3,60,4,"Metro_label","WL","monitor",5729,18121,17409,9259,32,93,87,48,50518,260
"56",5,54,6,3.4535,4,"Monitor",25,20,9,3,50,4,3,80,3,"Metro_label","WL","monitor",5729,18121,17409,9259,32,93,87,48,50518,260
"57",5,55,7,6.0005,4,"Monitor",15,20,9,2,50,6,2,80,4,"Metro_label","WL","monitor",5729,18121,17409,9259,32,93,87,48,50518,260
"58",5,56,8,2.6021,4,"Monitor",20,20,8,1,50,5,1,70,4,"Metro_label","WL","monitor",5729,18121,17409,9259,32,93,87,48,50518,260
"59",5,59,11,5.6663,4,"Monitor",15,30,7,1,70,4,1,60,3,"Metro_label","WL","monitor",5729,18121,17409,9259,32,93,87,48,50518,260
"60",5,60,12,4.2315,4,"Monitor",15,30,9,3,70,5,3,70,5,"Metro_label","WL","monitor",5729,18121,17409,9259,32,93,87,48,50518,260
"61",6,71,11,4.3714,1,"Monitor",15,40,8,2,50,4,2,60,3,"Metro_label","WL","monitor",13771,10042,14301,12199,69,52,67,56,50313,244
"62",6,61,1,6.4608,1,"Monitor",20,20,7,2,70,4,2,70,4,"Metro_label","WL","monitor",13771,10042,14301,12199,69,52,67,56,50313,244
"63",6,62,2,6.0483,1,"Monitor",20,40,7,3,50,5,3,60,4,"Metro_label","WL","monitor",13771,10042,14301,12199,69,52,67,56,50313,244
"64",6,63,3,4.5311,1,"Monitor",25,30,8,3,60,6,3,70,3,"Metro_label","WL","monitor",13771,10042,14301,12199,69,52,67,56,50313,244
"65",6,64,4,3.4832,1,"Monitor",25,30,7,1,50,4,1,70,4,"Metro_label","WL","monitor",13771,10042,14301,12199,69,52,67,56,50313,244
"66",6,65,5,4.1478,1,"Monitor",25,30,9,2,60,5,2,60,5,"RH_label","WL","monitor",13771,10042,14301,12199,69,52,67,56,50313,244
"67",6,66,6,6.0045,1,"Monitor",20,20,9,3,70,4,3,70,5,"RH_label","WL","monitor",13771,10042,14301,12199,69,52,67,56,50313,244
"68",6,67,7,2.9828,1,"Monitor",15,20,9,1,70,5,1,80,3,"RH_label","WL","monitor",13771,10042,14301,12199,69,52,67,56,50313,244
"69",6,68,8,3.8497,1,"Monitor",15,40,8,3,70,5,3,80,4,"Metro_label","WL","monitor",13771,10042,14301,12199,69,52,67,56,50313,244
"70",6,69,9,3.2374,1,"Monitor",20,20,9,1,60,6,1,80,5,"Metro_label","WL","monitor",13771,10042,14301,12199,69,52,67,56,50313,244
"71",6,70,10,4.5183,1,"Monitor",15,20,8,1,60,6,1,60,5,"RH_label","WL","monitor",13771,10042,14301,12199,69,52,67,56,50313,244
"72",6,72,12,7.4686,1,"Monitor",15,30,7,2,50,6,2,80,3,"Metro_label","WL","monitor",13771,10042,14301,12199,69,52,67,56,50313,244
"73",7,84,12,4.0497,2,"Monitor",25,30,9,1,70,6,1,60,4,"Metro_label","WL","monitor",15296,15961,17861,20403,67,68,77,78,69521,290
"74",7,73,1,8.6232,2,"Monitor",15,20,8,3,70,4,3,60,4,"Bus_label","WL","monitor",15296,15961,17861,20403,67,68,77,78,69521,290
"75",7,74,2,8.898,2,"Monitor",20,20,7,3,70,6,3,60,3,"Metro_label","WL","monitor",15296,15961,17861,20403,67,68,77,78,69521,290
"76",7,75,3,7.6558,2,"Monitor",15,40,9,1,60,4,1,70,5,"RH_label","WL","monitor",15296,15961,17861,20403,67,68,77,78,69521,290
"77",7,76,4,4.7164,2,"Monitor",25,30,8,2,70,4,2,80,4,"Metro_label","WL","monitor",15296,15961,17861,20403,67,68,77,78,69521,290
"78",7,77,5,5.0996,2,"Monitor",25,20,9,2,60,4,2,70,4,"Bus_label","WL","monitor",15296,15961,17861,20403,67,68,77,78,69521,290
"79",7,78,6,4.8825,2,"Monitor",20,30,9,2,50,5,2,60,3,"Metro_label","WL","monitor",15296,15961,17861,20403,67,68,77,78,69521,290
"80",7,79,7,4.1535,2,"Monitor",25,40,8,3,60,6,3,70,3,"Metro_label","WL","monitor",15296,15961,17861,20403,67,68,77,78,69521,290
"81",7,80,8,6.5691,2,"Monitor",15,30,7,3,60,4,3,80,5,"Metro_label","WL","monitor",15296,15961,17861,20403,67,68,77,78,69521,290
"82",7,81,9,3.4485,2,"Monitor",20,40,8,1,50,5,1,80,3,"Metro_label","WL","monitor",15296,15961,17861,20403,67,68,77,78,69521,290
"83",7,82,10,3.4329,2,"Monitor",15,40,7,1,50,6,1,70,5,"RH_label","WL","monitor",15296,15961,17861,20403,67,68,77,78,69521,290
"84",7,83,11,4.7111,2,"Monitor",25,20,7,2,70,5,2,80,5,"Metro_label","WL","monitor",15296,15961,17861,20403,67,68,77,78,69521,290
"85",9,97,1,8.3114,1,"Monitor",20,20,7,2,70,4,2,70,4,"RH_label","WL","monitor",15178,19053,15063,14130,58,69,59,70,63424,256
"86",9,98,2,5.4011,1,"Monitor",20,40,7,3,50,5,3,60,4,"Metro_label","WL","monitor",15178,19053,15063,14130,58,69,59,70,63424,256
"87",9,99,3,5.7494,1,"Monitor",25,30,8,3,60,6,3,70,3,"Metro_label","WL","monitor",15178,19053,15063,14130,58,69,59,70,63424,256
