"","pid","X","Trial","TrialDuration","Block","Device","cost1","qual1","cost2","qual2","Choice","type","experiment","Cost_FT_time","Qual_FT_time","Other_FT_time","Cost_FT_count","Qual_FT_count","Other_FT_count","Tot_time","Tot_counts"
"1",1,1,1,3.4125,2,"Laptop",7,1,11,9,"Option2_label","WL","monitor",15369,15105,18056,52,53,43,48530,148
"2",1,2,2,2.9182,2,"Laptop",13,7,11,1,"Option1_label","WL","monitor",15369,15105,18056,52,53,43,48530,148
"3",1,3,3,3.4695,2,"Laptop",15,9,7,3,"Option1_label","WL","monitor",15369,15105,18056,52,53,43,48530,148
"4",1,4,4,3.5251,2,"Laptop",15,9,9,7,"Option2_label","WL","monitor",15369,15105,18056,52,53,43,48530,148
"5",1,5,5,3.0125,2,"Laptop",7,3,11,7,"Option1_label","WL","monitor",15369,15105,18056,52,53,43,48530,148
"6",1,6,6,2.8003,2,"Laptop",11,3,11,3,"Option1_label","WL","monitor",15369,15105,18056,52,53,43,48530,148
"7",1,7,7,3.0113,2,"Laptop",7,3,9,7,"Option2_label","WL","monitor",15369,15105,18056,52,53,43,48530,148
"8",1,8,8,4.2127,2,"Laptop",13,5,7,1,"Option1_label","WL","monitor",15369,15105,18056,52,53,43,48530,148
"9",1,9,9,2.8446,2,"Laptop",15,5,7,1,"Option1_label","WL","monitor",15369,15105,18056,52,53,43,48530,148
"10",1,10,10,2.3632,2,"Laptop",5,3,13,5,"Option2_label","WL","monitor",15369,15105,18056,52,53,43,48530,148
"11",1,11,11,3.0829,2,"Laptop",13,9,9,7,"Option1_label","WL","monitor",15369,15105,18056,52,53,43,48530,148
"12",1,12,12,2.5496,2,"Laptop",15,9,13,1,"Option1_label","WL","monitor",15369,15105,18056,52,53,43,48530,148
"13",2,13,1,8.5727,3,"Monitor",11,9,9,1,"Option1_label","WL","monitor",25586,18952,22298,99,87,97,66836,283
"14",2,14,2,4.5528,3,"Monitor",5,5,13,7,"Option1_label","WL","monitor",25586,18952,22298,99,87,97,66836,283
"15",2,15,3,5.379,3,"Monitor",5,5,15,9,"Option1_label","WL","monitor",25586,18952,22298,99,87,97,66836,283
"16",2,16,4,7.117,3,"Monitor",9,5,15,9,"Option1_label","WL","monitor",25586,18952,22298,99,87,97,66836,283
"17",2,17,5,6.0163,3,"Monitor",5,1,15,3,"Option1_label","WL","monitor",25586,18952,22298,99,87,97,66836,283
"18",2,18,6,5.1997,3,"Monitor",9,9,5,7,"Option2_label","WL","monitor",25586,18952,22298,99,87,97,66836,283
"19",2,19,7,4.6358,3,"Monitor",15,7,7,1,"Option1_label","WL","monitor",25586,18952,22298,99,87,97,66836,283
"20",2,20,8,5.2998,3,"Monitor",11,7,7,1,"Option1_label","WL","monitor",25586,18952,22298,99,87,97,66836,283
"21",2,21,9,4.9965,3,"Monitor",9,7,5,3,"Option1_label","WL","monitor",25586,18952,22298,99,87,97,66836,283
"22",2,22,10,4.0525,3,"Monitor",13,7,9,5,"Option2_label","WL","monitor",25586,18952,22298,99,87,97,66836,283
"23",2,23,11,4.9499,3,"Monitor",9,3,15,9,"Option2_label","WL","monitor",25586,18952,22298,99,87,97,66836,283
"24",2,24,12,5.5359,3,"Monitor",11,1,13,3,"Option2_label","WL","monitor",25586,18952,22298,99,87,97,66836,283
"25",3,25,1,4.5133,2,"Monitor",7,1,11,9,"Option2_label","WL","monitor",17070,11677,25484,65,49,99,54231,213
"26",3,26,2,3.605,2,"Monitor",13,7,11,1,"Option1_label","WL","monitor",17070,11677,25484,65,49,99,54231,213
"27",3,27,3,4.2372,2,"Monitor",15,9,7,3,"Option2_label","WL","monitor",17070,11677,25484,65,49,99,54231,213
