"","pid","X","Trial","TrialDuration","Block","Device","RH_cost","RH_travel_time","RH_Comfort","metro_cost","metro_travel_time","metro_Comfort","Bus_cost","Bus_travel_time","Bus_Comfort","Choice","type","experiment","Comfort_FT_time","Cost_FT_time","Travel_FT_time","Other_FT_time","Comfort_FT_count","Cost_FT_count","Travel_FT_count","Other_FT_count","Tot_time","Tot_counts"
"1",1,1,1,5.0271,2,"Tablet",15,20,8,3,70,4,3,60,4,"RH_label","WG","tablet",24832.79997842,33507.59997433,47190.6000134,138288.59997476,231,299,431,1285,243819.59994091,2246
"2",1,2,2,8.5463,2,"Tablet",20,20,7,3,70,6,3,60,3,"RH_label","WG","tablet",24832.79997842,33507.59997433,47190.6000134,138288.59997476,231,299,431,1285,243819.59994091,2246
"3",1,3,3,5.8968,2,"Tablet",15,40,9,1,60,4,1,70,5,"RH_label","WG","tablet",24832.79997842,33507.59997433,47190.6000134,138288.59997476,231,299,431,1285,243819.59994091,2246
"4",1,4,4,10.1704,2,"Tablet",25,30,8,2,70,4,2,80,4,"Metro_label","WG","tablet",24832.79997842,33507.59997433,47190.6000134,138288.59997476,231,299,431,1285,243819.59994091,2246
"5",1,5,5,4.0703,2,"Tablet",25,20,9,2,60,4,2,70,4,"RH_label","WG","tablet",24832.79997842,33507.59997433,47190.6000134,138288.59997476,231,299,431,1285,243819.59994091,2246
"6",1,6,6,5.9665,2,"Tablet",20,30,9,2,50,5,2,60,3,"RH_label","WG","tablet",24832.79997842,33507.59997433,47190.6000134,138288.59997476,231,299,431,1285,243819.59994091,2246
"7",1,7,7,7.2194,2,"Tablet",25,40,8,3,60,6,3,70,3,"Metro_label","WG","tablet",24832.79997842,33507.59997433,47190.6000134,138288.59997476,231,299,431,1285,243819.59994091,2246
"8",1,8,8,5.3331,2,"Tablet",15,30,7,3,60,4,3,80,5,"Metro_label","WG","tablet",24832.79997842,33507.59997433,47190.6000134,138288.59997476,231,299,431,1285,243819.59994091,2246
"9",1,9,9,4.3028,2,"Tablet",20,40,8,1,50,5,1,80,3,"RH_label","WG","tablet",24832.79997842,33507.59997433,47190.6000134,138288.59997476,231,299,431,1285,243819.59994091,2246
"10",1,10,10,6.4896,2,"Tablet",15,40,7,1,50,6,1,70,5,"Metro_label","WG","tablet",24832.79997842,33507.59997433,47190.6000134,138288.59997476,231,299,431,1285,243819.59994091,2246
