"","pid","X","Trial","TrialDuration","Block","Device","RH_cost","RH_travel_time","RH_Comfort","metro_cost","metro_travel_time","metro_Comfort","Bus_cost","Bus_travel_time","Bus_Comfort","Choice","type","experiment","Comfort_FT_time","Cost_FT_time","Travel_FT_time","Other_FT_time","Comfort_FT_count","Cost_FT_count","Travel_FT_count","Other_FT_count","Tot_time","Tot_counts"
"1",1,1,1,5.0271,2,"Tablet",15,20,8,3,70,4,3,60,4,"RH_label","WL","tablet",11438,14437,22044,21575,56,68,104,84,69494,312
"2",1,2,2,8.5463,2,"Tablet",20,20,7,3,70,6,3,60,3,"RH_label","WL","tablet",11438,14437,22044,21575,56,68,104,84,69494,312
"3",1,3,3,5.8968,2,"Tablet",15,40,9,1,60,4,1,70,5,"RH_label","WL","tablet",11438,14437,22044,21575,56,68,104,84,69494,312
"4",1,4,4,10.1704,2,"Tablet",25,30,8,2,70,4,2,80,4,"Metro_label","WL","tablet",11438,14437,22044,21575,56,68,104,84,69494,312
"5",1,5,5,4.0703,2,"Tablet",25,20,9,2,60,4,2,70,4,"RH_label","WL","tablet",11438,14437,22044,21575,56,68,104,84,69494,312
"6",1,6,6,5.9665,2,"Tablet",20,30,9,2,50,5,2,60,3,"RH_label","WL","tablet",11438,14437,22044,21575,56,68,104,84,69494,312
"7",1,7,7,7.2194,2,"Tablet",25,40,8,3,60,6,3,70,3,"Metro_label","WL","tablet",11438,14437,22044,21575,56,68,104,84,69494,312
"8",1,8,8,5.3331,2,"Tablet",15,30,7,3,60,4,3,80,5,"Metro_label","WL","tablet",11438,14437,22044,21575,56,68,104,84,69494,312
"9",1,9,9,4.3028,2,"Tablet",20,40,8,1,50,5,1,80,3,"RH_label","WL","tablet",11438,14437,22044,21575,56,68,104,84,69494,312
"10",1,10,10,6.4896,2,"Tablet",15,40,7,1,50,6,1,70,5,"Metro_label","WL","tablet",11438,14437,22044,21575,56,68,104,84,69494,312
"11",1,11,11,7.7199,2,"Tablet",25,20,7,2,70,5,2,80,5,"RH_label","WL","tablet",11438,14437,22044,21575,56,68,104,84,69494,312
"12",1,12,12,7.433,2,"Tablet",25,30,9,1,70,6,1,60,4,"RH_label","WL","tablet",11438,14437,22044,21575,56,68,104,84,69494,312
"13",2,13,1,7.5604,3,"Tablet",25,40,9,1,50,4,1,60,5,"Metro_label","WL","tablet",20390,18233,23260,33215,98,85,99,124,95098,406
"14",2,14,2,7.8826,3,"Tablet",20,30,8,1,70,6,1,80,5,"Metro_label","WL","tablet",20390,18233,23260,33215,98,85,99,124,95098,406
"15",2,15,3,6.915,3,"Tablet",15,30,8,3,50,4,3,80,5,"RH_label","WL","tablet",20390,18233,23260,33215,98,85,99,124,95098,406
"16",2,16,4,6.8997,3,"Tablet",15,30,8,1,60,5,1,70,4,"Metro_label","WL","tablet",20390,18233,23260,33215,98,85,99,124,95098,406
"17",2,17,5,9.3678,3,"Tablet",25,20,7,3,50,5,3,60,5,"RH_label","WL","tablet",20390,18233,23260,33215,98,85,99,124,95098,406
"18",2,18,6,6.4162,3,"Tablet",15,20,7,2,60,5,2,70,3,"RH_label","WL","tablet",20390,18233,23260,33215,98,85,99,124,95098,406
"19",2,19,7,10.483,3,"Tablet",20,30,7,3,60,4,3,80,4,"RH_label","WL","tablet",20390,18233,23260,33215,98,85,99,124,95098,406
"20",2,20,8,8.6164,3,"Tablet",20,40,9,2,60,4,2,80,3,"Metro_label","WL","tablet",20390,18233,23260,33215,98,85,99,124,95098,406
"21",2,21,9,7.6328,3,"Tablet",15,40,9,2,70,6,2,60,4,"Metro_label","WL","tablet",20390,18233,23260,33215,98,85,99,124,95098,406
"22",2,22,10,7.1802,3,"Tablet",25,40,9,3,70,5,3,70,3,"RH_label","WL","tablet",20390,18233,23260,33215,98,85,99,124,95098,406
"23",2,23,11,7.133,3,"Tablet",25,20,8,2,50,6,2,70,5,"RH_label","WL","tablet",20390,18233,23260,33215,98,85,99,124,95098,406
"24",2,24,12,6.1081,3,"Tablet",20,30,7,1,70,6,1,70,3,"RH_label","WL","tablet",20390,18233,23260,33215,98,85,99,124,95098,406
"25",3,25,1,4.6458,1,"Tablet",20,20,7,2,70,4,2,70,4,"Metro_label","WL","tablet",9249,14633,9965,24135,36,49,41,94,57982,220
"26",3,26,2,4.5688,1,"Tablet",20,40,7,3,50,5,3,60,4,"Metro_label","WL","tablet",9249,14633,9965,24135,36,49,41,94,57982,220
"27",3,27,3,4.2164,1,"Tablet",25,30,8,3,60,6,3,70,3,"Metro_label","WL","tablet",9249,14633,9965,24135,36,49,41,94,57982,220
"28",3,28,4,3.7162,1,"Tablet",25,30,7,1,50,4,1,70,4,"Metro_label","WL","tablet",9249,14633,9965,24135,36,49,41,94,57982,220
"29",3,29,5,3.9831,1,"Tablet",25,30,9,2,60,5,2,60,5,"Metro_label","WL","tablet",9249,14633,9965,24135,36,49,41,94,57982,220
"30",3,30,6,4.5319,1,"Tablet",20,20,9,3,70,4,3,70,5,"Bus_label","WL","tablet",9249,14633,9965,24135,36,49,41,94,57982,220
"31",3,31,7,3.733,1,"Tablet",15,20,9,1,70,5,1,80,3,"Metro_label","WL","tablet",9249,14633,9965,24135,36,49,41,94,57982,220
"32",3,32,8,5.8476,1,"Tablet",15,40,8,3,70,5,3,80,4,"Metro_label","WL","tablet",9249,14633,9965,24135,36,49,41,94,57982,220
"33",3,33,9,3.9524,1,"Tablet",20,20,9,1,60,6,1,80,5,"Metro_label","WL","tablet",9249,14633,9965,24135,36,49,41,94,57982,220
"34",3,34,10,2.6833,1,"Tablet",15,20,8,1,60,6,1,60,5,"Metro_label","WL","tablet",9249,14633,9965,24135,36,49,41,94,57982,220
"35",3,35,11,3.9665,1,"Tablet",15,40,8,2,50,4,2,60,3,"Metro_label","WL","tablet",9249,14633,9965,24135,36,49,41,94,57982,220
"36",3,36,12,3.478,1,"Tablet",15,30,7,2,50,6,2,80,3,"Metro_label","WL","tablet",9249,14633,9965,24135,36,49,41,94,57982,220
"37",4,37,1,5.9313,3,"Tablet",25,40,9,1,50,4,1,60,5,"Metro_label","WL","tablet",11135,8307,9420,25008,50,33,42,92,53870,217
"38",4,38,2,5.0828,3,"Tablet",20,30,8,1,70,6,1,80,5,"Metro_label","WL","tablet",11135,8307,9420,25008,50,33,42,92,53870,217
"39",4,39,3,4.3139,3,"Tablet",15,30,8,3,50,4,3,80,5,"Metro_label","WL","tablet",11135,8307,9420,25008,50,33,42,92,53870,217
"40",4,40,4,3.3002,3,"Tablet",15,30,8,1,60,5,1,70,4,"Metro_label","WL","tablet",11135,8307,9420,25008,50,33,42,92,53870,217
"41",4,41,5,3.4669,3,"Tablet",25,20,7,3,50,5,3,60,5,"Metro_label","WL","tablet",11135,8307,9420,25008,50,33,42,92,53870,217
"42",4,42,6,3.9038,3,"Tablet",15,20,7,2,60,5,2,70,3,"Metro_label","WL","tablet",11135,8307,9420,25008,50,33,42,92,53870,217
"43",4,43,7,3.4492,3,"Tablet",20,30,7,3,60,4,3,80,4,"Metro_label","WL","tablet",11135,8307,9420,25008,50,33,42,92,53870,217
"44",4,44,8,2.6831,3,"Tablet",20,40,9,2,60,4,2,80,3,"Metro_label","WL","tablet",11135,8307,9420,25008,50,33,42,92,53870,217
"45",4,45,9,3.3528,3,"Tablet",15,40,9,2,70,6,2,60,4,"Bus_label","WL","tablet",11135,8307,9420,25008,50,33,42,92,53870,217
"46",4,46,10,2.7502,3,"Tablet",25,40,9,3,70,5,3,70,3,"Metro_label","WL","tablet",11135,8307,9420,25008,50,33,42,92,53870,217
